@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5178, 13.2104, 3.3899, 1.33, 72.7612, 0.5899, 8.5934, 0.0, 0.0, negative
1.5176, 13.4831, 3.7402, 1.1695, 72.9908, 0.5899, 8.0339, 0.0, 0.0, negative
1.5174, 13.2969, 3.601, 1.1406, 73.0916, 0.5775, 8.1738, 0.0, 0.0, negative
1.5157, 12.7183, 3.4618, 1.5612, 73.198, 0.6707, 8.0877, 0.0, 0.1224, negative
1.5172, 12.8713, 3.4798, 1.33, 73.0412, 0.5589, 8.432, 0.0, 0.0, negative
1.5191, 13.8887, 3.5291, 1.3204, 71.8092, 0.5092, 8.7764, 0.1103, 0.0, negative
1.5187, 13.1905, 3.372, 1.1792, 72.722, 0.5713, 8.8302, 0.0, 0.0816, negative
1.5217, 13.5097, 3.8614, 0.8806, 71.7924, 0.2298, 9.5403, 0.0, 0.0561, negative
1.5176, 12.9977, 3.601, 1.3589, 72.9908, 0.5713, 8.3998, 0.0, 0.0561, negative
1.5176, 12.8115, 3.5381, 1.2305, 73.2372, 0.5775, 8.389, 0.0, 0.0, negative
1.5178, 13.7745, 3.4887, 1.2787, 72.862, 0.6024, 8.4858, 0.0, 0.0, negative
1.5179, 12.7317, 3.4304, 1.1888, 72.9516, 0.621, 8.7548, 0.0, 0.153, negative
1.5232, 13.7225, 3.7222, 0.5115, 71.7476, 0.0869, 10.568, 0.0, 0.0816, negative
1.523, 13.3102, 3.5785, 0.8196, 71.9884, 0.118, 10.1752, 0.0, 0.0153, negative
1.521, 13.6427, 4.49, 1.0989, 71.7812, 0.0621, 8.7548, 0.0, 0.0, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5267, 13.9885, 3.6998, 0.7105, 71.5684, 0.0186, 9.8201, 0.0, 0.051, negative
1.5193, 13.1972, 3.3316, 1.2787, 72.358, 0.6024, 9.1422, 0.0, 0.0561, negative
1.5217, 13.4831, 3.7402, 0.8999, 72.0108, 0.1801, 9.6049, 0.0, 0.0357, negative
1.5162, 13.5297, 3.5516, 1.5387, 72.9908, 0.3912, 7.7757, 0.0, 0.0, negative
1.5177, 12.5587, 3.5202, 1.4296, 73.1476, 0.5713, 8.5396, 0.0, 0.0, negative
1.518, 12.7383, 3.4798, 1.3493, 72.9572, 0.6396, 8.6795, 0.0, 0.0, negative
1.5181, 13.4299, 2.8691, 1.1888, 72.8396, 0.5527, 9.0346, 0.0, 0.0, negative
1.5215, 13.1174, 3.5785, 0.8999, 72.2012, 0.2298, 9.8201, 0.0, 0.0816, negative
1.5174, 13.2703, 3.6189, 1.2402, 73.0804, 0.5527, 8.0662, 0.0, 0.0, negative
1.5175, 12.858, 3.5606, 1.2691, 73.2092, 0.5403, 8.3782, 0.0, 0.0867, negative
1.5177, 12.6518, 3.5606, 1.3012, 73.0804, 0.6086, 8.6903, 0.0, 0.0714, negative
1.5176, 12.7117, 3.4214, 1.1984, 73.198, 0.5899, 8.6365, 0.0, 0.0, negative
1.5177, 12.4523, 2.712, 1.2915, 73.702, 0.5589, 9.0561, 0.0, 0.1224, negative
1.5177, 13.2104, 3.6908, 1.2915, 72.61, 0.5713, 8.2168, 0.0, 0.0, negative
1.5157, 13.2903, 3.4483, 1.2113, 72.7388, 0.5589, 8.5719, 0.0, 0.0, negative
1.5223, 14.168, 3.812, 0.7811, 71.35, 0.0, 9.691, 0.0, 0.0, negative
1.5197, 14.7732, 3.7492, 0.29, 72.022, 0.0311, 9.0023, 0.0, 0.0, negative
1.5178, 13.2104, 2.8107, 1.2915, 72.9796, 0.5092, 9.0238, 0.0, 0.459, negative
1.522, 14.3609, 3.8479, 0.8903, 71.3612, 0.149, 9.153, 0.0, 0.0, negative
1.5182, 13.7225, 0.0, 0.5596, 74.4524, 0.0, 10.9929, 0.0, 0.0, negative
1.5166, 12.9312, 3.5381, 1.6189, 72.9572, 0.6396, 8.0339, 0.0, 0.1071, negative
1.5171, 12.9977, 3.4708, 1.7891, 72.722, 0.6583, 8.1846, 0.0, 0.0, negative
1.5169, 12.6718, 2.8781, 1.7088, 73.2092, 0.7328, 8.5396, 0.0, 0.0, negative
1.5266, 11.2287, 0.0, 0.7715, 73.2092, 0.0, 14.6836, 0.0, 0.0, negative
1.5181, 12.9578, 2.9589, 1.4296, 72.918, 0.6024, 8.7871, 0.1386, 0.0, negative
1.5273, 13.8023, 3.152, 0.6592, 70.5716, 0.0807, 11.6385, 0.0, 0.0, negative
1.5189, 13.4632, 3.83, 1.2594, 72.5484, 0.5713, 8.2061, 0.0, 0.0714, negative
1.5187, 12.9312, 3.6593, 1.5612, 72.5092, 0.5775, 8.5504, 0.0, 0.0612, negative
1.5218, 13.7491, 1.0103, 1.3589, 72.19, 0.3291, 11.1436, 0.0, 0.0, negative
1.5163, 12.9977, 3.5785, 1.5387, 72.8284, 0.6086, 8.0447, 0.0, 0.0, negative
1.5162, 13.0109, 3.5022, 1.4809, 72.89, 0.6024, 8.12, 0.0, 0.0, negative
1.516, 12.8979, 3.4393, 1.4488, 73.58, 0.4409, 8.2706, 0.0, 0.0, negative
1.5171, 13.7225, 3.6818, 1.8115, 72.0612, 0.6396, 7.8833, 0.0, 0.0, negative
1.5167, 12.9378, 3.61, 1.2594, 72.75, 0.5589, 8.6042, 0.0, 0.0, negative
1.5261, 13.7026, 0.0, 1.3589, 71.238, 0.1925, 13.4354, 0.0, 0.051, negative
1.5169, 13.3301, 3.5381, 1.6093, 72.5428, 0.6831, 8.1092, 0.0, 0.0, negative
1.5165, 13.4432, 3.61, 1.5387, 72.3916, 0.6583, 8.0339, 0.0, 0.0, negative
1.5159, 13.2503, 3.4483, 1.4296, 73.17, 0.6086, 7.8618, 0.0, 0.0, negative
1.5247, 11.4482, 0.0, 1.8789, 72.19, 0.8073, 13.2418, 0.0, 0.1734, negative
1.5183, 13.237, 3.9018, 1.4103, 72.33, 0.5527, 8.3137, 0.0, 0.051, negative
1.5179, 13.1905, 3.9018, 1.3012, 72.33, 0.5527, 8.4428, 0.0, 0.1428, negative
1.5184, 12.8514, 3.6683, 1.2402, 72.5708, 0.621, 8.6795, 0.0, 0.1785, negative
1.5159, 13.0907, 3.592, 1.5194, 73.0972, 0.6707, 7.8295, 0.0, 0.0, negative
1.5159, 13.0907, 3.5202, 1.5515, 72.8676, 0.6831, 8.0447, 0.0, 0.459, negative
1.5159, 13.1174, 3.4079, 1.5804, 73.2596, 0.0683, 8.389, 0.0, 0.0969, negative
1.5185, 13.0974, 3.9692, 1.1888, 72.442, 0.6024, 8.432, 0.0, 0.0, negative
1.5171, 12.8912, 3.6189, 1.5708, 72.9572, 0.6086, 8.1092, 0.0, 0.0, negative
1.5161, 13.922, 3.5202, 1.2498, 72.8788, 0.3726, 7.9371, 0.0, 0.0714, negative
1.5184, 13.0176, 3.6189, 1.0604, 72.3412, 0.6396, 9.1314, 0.0, 0.0765, negative
1.5241, 13.8289, 2.9005, 1.1695, 71.1484, 0.0807, 10.7885, 0.0, 0.0, negative
1.5165, 13.5629, 3.5696, 1.4713, 72.4476, 0.6396, 7.9586, 0.0, 0.0, negative
1.5184, 13.2503, 3.7581, 1.3204, 72.4028, 0.5775, 8.4213, 0.0, 0.0, negative
1.5181, 13.4299, 3.9781, 1.1792, 72.4924, 0.5775, 8.1523, 0.0, 0.0, negative
1.5163, 13.3368, 3.5696, 1.5708, 72.8676, 0.6086, 7.894, 0.0, 0.0, negative
1.5222, 14.4274, 0.0, 0.9994, 72.6716, 0.0994, 11.5202, 0.0, 0.0408, negative
1.5274, 11.0226, 0.0, 0.749, 73.0804, 0.0, 14.9634, 0.0, 0.0, negative
1.5169, 13.2304, 3.5381, 1.4809, 72.8396, 0.5589, 8.0985, 0.0, 0.0, negative
1.5181, 13.3301, 3.8479, 1.2498, 72.778, 0.5216, 8.12, 0.0, 0.0, negative
1.5166, 12.8514, 3.5112, 1.4392, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, negative
1.5157, 14.8597, 3.6683, 1.7409, 71.8708, 0.1615, 7.356, 0.0, 0.0612, negative
1.5163, 13.3567, 3.5785, 1.4905, 72.722, 0.4471, 8.2061, 0.0, 0.0, negative
1.5171, 13.4831, 3.4798, 1.7088, 72.5204, 0.621, 7.9909, 0.0, 0.0, negative
1.5181, 12.9977, 3.7985, 1.0797, 73.0692, 0.5589, 8.3782, 0.0, 0.0612, negative
1.5159, 13.0176, 3.5785, 1.5098, 73.1196, 0.6893, 7.9586, 0.0, 0.0, negative
1.5157, 13.237, 3.4887, 1.4713, 73.2484, 0.3788, 8.0339, 0.0, 0.0, negative
1.5184, 12.9312, 3.7402, 1.1085, 72.2796, 0.6396, 8.9593, 0.0, 0.1122, negative
1.5339, 12.2994, 0.0, 0.9994, 70.1628, 0.118, 16.19, 0.0, 0.1224, negative
1.5278, 12.6386, 0.0, 0.6688, 72.022, 0.0621, 14.4038, 0.0, 0.0, negative
1.5202, 13.9818, 1.3515, 1.6286, 71.7588, 0.3912, 10.5625, 0.0, 0.51, negative
1.518, 13.7092, 3.9287, 1.5387, 71.8092, 0.5403, 8.2061, 0.0, 0.0765, negative
1.5159, 12.8181, 3.5202, 1.9014, 72.862, 0.6893, 7.9694, 0.0, 0.0, negative
1.5159, 13.237, 3.3406, 1.4713, 73.0972, 0.3912, 8.2168, 0.0, 0.0, negative
1.5218, 13.1972, 3.6818, 1.1503, 72.75, 0.5403, 8.5181, 0.0, 0.0, negative
1.5167, 12.8713, 3.5606, 1.6414, 73.142, 0.6521, 7.9909, 0.0, 0.0, negative
1.5141, 14.2478, 3.0891, 2.0812, 72.2796, 1.0992, 7.0763, 0.0, 0.0, negative
1.5185, 13.41, 3.8883, 1.33, 72.3804, 0.5092, 8.2814, 0.0, 0.0, negative
1.5207, 13.5496, 2.0878, 1.6703, 72.1788, 0.5279, 9.5726, 0.2709, 0.0867, negative
1.5167, 12.7915, 3.5202, 1.5387, 73.3604, 0.6583, 7.9048, 0.0, 0.0, negative
1.5166, 12.991, 3.1789, 1.2305, 72.9684, 0.5775, 8.8086, 0.0, 0.1224, negative
1.5178, 13.5297, 3.4079, 1.5194, 72.0388, 0.5775, 8.7871, 0.0, 0.0, negative
1.5212, 14.0284, 3.7581, 0.5789, 71.7924, 0.1118, 9.6479, 0.0, 0.0, negative
1.5165, 13.0375, 3.3989, 1.2594, 73.0076, 0.5216, 8.5827, 0.0, 0.0, negative
1.5221, 14.188, 3.7806, 0.9095, 71.3612, 0.2298, 9.1422, 0.0, 0.1887, negative
1.5169, 12.858, 3.5785, 1.3108, 72.61, 0.6086, 8.7871, 0.0, 0.0, negative
1.5178, 13.6427, 3.6504, 0.6495, 73.002, 0.0621, 8.927, 0.0, 0.0, negative
1.5161, 13.4232, 3.3989, 1.2209, 72.6884, 0.5899, 8.3244, 0.0, 0.0, negative
1.5194, 13.6427, 3.5381, 0.749, 72.6492, 0.1615, 8.8947, 0.1512, 0.1224, negative
1.5177, 13.6494, 3.6593, 1.1085, 72.7724, 0.1118, 8.6042, 0.0, 0.0, negative
1.5183, 13.3301, 3.3406, 1.5387, 72.1396, 0.5589, 8.9916, 0.0, 0.0, negative
1.5167, 13.237, 3.5696, 1.3814, 72.6996, 0.5589, 8.4428, 0.0, 0.051, negative
1.5165, 13.41, 3.3899, 1.2787, 72.638, 0.5216, 8.6472, 0.0, 0.0, negative
1.5213, 14.321, 3.9018, 0.8293, 71.5012, 0.0, 9.4865, 0.0, 0.0, negative
1.5164, 12.1598, 3.5202, 1.3493, 72.89, 0.5713, 8.5289, 0.0, 0.0, negative
1.5151, 14.0084, 2.6805, 3.5, 69.8884, 1.6829, 5.8712, 2.1987, 0.0, negative
1.5212, 12.971, 0.3278, 1.5098, 73.3884, 0.1304, 11.2727, 0.0, 0.1428, negative
1.5215, 11.0292, 1.7107, 1.5612, 73.4388, 0.5775, 11.617, 0.0, 0.0, negative
1.5132, 12.9977, 0.0, 3.0185, 70.7004, 6.21, 6.9256, 0.0, 0.0, negative
1.5167, 12.858, 0.0, 1.8308, 73.8812, 0.9688, 10.1752, 0.0, 0.0, negative
1.5199, 13.2703, 0.0, 1.7602, 73.03, 0.472, 11.3157, 0.0, 0.0, negative
1.5206, 12.8514, 1.6119, 2.1711, 72.1788, 0.7576, 9.7017, 0.2394, 0.2601, negative
1.5217, 11.5612, 1.8813, 1.5612, 72.862, 0.472, 11.4126, 0.0, 0.0, negative
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5191, 14.0018, 2.3887, 1.5612, 72.3692, 0.0, 9.5726, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5161, 13.8821, 1.778, 1.7891, 73.0972, 0.0, 8.6688, 0.7591, 0.0, negative
1.5151, 15.1523, 0.0, 2.2513, 73.5004, 0.0, 8.3352, 0.63, 0.0, negative
1.5225, 14.8597, 2.2001, 2.0587, 70.258, 0.7576, 9.7555, 0.0, 0.0, negative
1.5165, 11.9469, 0.0, 1.1888, 75.1804, 2.7014, 8.927, 0.0, 0.0, negative
1.5206, 14.3609, 0.0, 2.0202, 73.422, 0.0, 8.4428, 1.6412, 0.0, negative
1.5113, 13.6892, 3.2014, 1.8115, 72.8116, 1.7574, 5.43, 1.1907, 0.0, negative
1.5156, 13.8688, 0.0, 2.5402, 73.2316, 0.1428, 9.4112, 0.8095, 0.0051, negative
1.5164, 14.3675, 0.0, 2.7392, 72.8508, 0.0, 9.4542, 0.5386, 0.0, negative
1.5232, 13.4432, 3.3406, 1.2305, 72.3804, 0.6024, 8.8302, 0.0, 0.0, negative
1.5168, 14.5604, 0.0, 1.9785, 73.2876, 0.0, 8.5181, 1.5687, 0.0357, negative
1.5165, 14.9395, 0.0, 1.8693, 73.1084, 0.0, 8.6688, 1.3797, 0.0, negative
1.5172, 14.7532, 0.0, 2.0009, 73.0188, 0.0, 8.5289, 1.5908, 0.0408, negative
1.5162, 14.9527, 0.0, 2.2706, 73.2988, 0.0, 8.7118, 0.671, 0.0, negative
1.5171, 14.2279, 0.0, 2.0812, 73.3604, 0.0, 8.615, 1.6695, 0.0, negative
1.5237, 15.7906, 1.8319, 1.3108, 70.4316, 0.3105, 8.615, 1.6789, 0.0, negative
1.5151, 14.853, 0.0, 2.4214, 73.7188, 0.0, 8.389, 0.5607, 0.0, negative
1.5168, 14.9195, 0.0, 1.9913, 73.58, 0.0, 8.3998, 1.5908, 0.0, negative
1.5162, 14.2013, 0.0, 2.7906, 73.4612, 0.0373, 9.0454, 0.4001, 0.459, negative
1.5153, 14.3809, 0.0, 2.659, 73.0972, 0.0373, 9.0776, 0.6394, 0.0, negative
1.5161, 15.126, 0.0, 2.5113, 73.0524, 0.0497, 8.8302, 0.5292, 0.0, negative
1.5183, 14.3875, 0.0, 1.8212, 72.862, 1.4097, 6.4737, 2.8791, 0.0, negative
1.516, 14.853, 0.0, 2.3797, 73.282, 0.0, 8.7548, 0.6394, 0.459, negative
1.5173, 14.7, 0.0, 2.3412, 73.282, 0.0, 8.9485, 0.6615, 0.0, negative
1.5162, 14.1415, 0.0, 2.8805, 72.61, 0.0807, 9.1852, 1.0615, 0.0, negative
1.5184, 14.321, 3.2597, 2.2192, 71.2492, 1.4593, 5.7851, 1.6285, 0.0, negative
1.5166, 14.7998, 0.0, 1.9913, 73.1084, 0.0, 8.2814, 1.7105, 0.0, negative
1.5173, 14.9527, 0.0, 1.7987, 72.9908, 0.0, 8.615, 1.5498, 0.0, negative
1.5194, 14.2946, 1.1365, 1.0362, 72.9504, 0.0, 10.4356, 0.0, 0.0, positive
1.5192, 13.8968, 2.3998, 1.3774, 72.5627, 0.0, 9.6682, 0.0, 0.0, positive
1.5192, 14.2612, 1.7717, 1.4054, 72.6579, 0.0, 9.838, 0.0, 0.0, positive
1.5176, 14.6135, 1.9562, 1.3403, 72.9198, 0.0, 9.0427, 0.0, 0.0, positive
1.5121, 15.8078, 0.9194, 0.9732, 74.9549, 0.0, 7.1456, 0.0, 0.0, positive
1.5197, 14.5353, 0.0, 0.6527, 73.4331, 0.0, 11.1986, 0.0, 0.0, positive
1.5171, 14.7823, 1.7442, 0.9544, 73.4939, 0.0, 8.9031, 0.0, 0.0, positive
1.5178, 14.8869, 0.953, 1.7048, 72.8644, 0.0, 9.528, 0.0, 0.0, positive
1.5162, 15.1546, 1.4942, 0.8665, 73.7685, 0.0, 8.5797, 0.0, 0.0, positive
1.519, 14.4355, 1.6851, 1.6398, 72.4256, 0.0, 9.7374, 0.0, 0.0, positive
1.5145, 14.2561, 1.9004, 1.4559, 74.1249, 0.0, 8.107, 0.0, 0.0, positive
1.5189, 14.8011, 1.0921, 1.7062, 72.4731, 0.0, 9.8764, 0.0, 0.0, positive
1.5192, 14.0409, 0.72, 1.8214, 72.7455, 0.0, 10.5511, 0.0, 0.0, positive
1.5189, 14.8261, 1.0068, 1.6645, 72.5344, 0.0, 9.9239, 0.0, 0.0, positive
1.5151, 14.6166, 1.3918, 1.6124, 73.8003, 0.0, 8.4519, 0.0, 0.0, positive
1.5194, 13.7908, 2.4109, 1.1919, 72.7579, 0.0, 9.7647, 0.0, 0.0, positive
1.5191, 14.0327, 1.8837, 1.6731, 72.4473, 0.0, 9.8501, 0.0, 0.0, positive
1.5193, 13.9693, 1.2006, 1.6417, 72.75, 0.0, 10.3281, 0.0, 0.0, positive
1.513, 14.399, 1.744, 1.5377, 74.5425, 0.0, 7.599, 0.0, 0.0, positive
1.5189, 14.0557, 2.3506, 1.5417, 72.4177, 0.0, 9.5259, 0.0, 0.0, positive
1.5178, 14.2055, 0.3956, 1.9654, 73.1495, 0.0, 10.1376, 0.0, 0.0, positive
1.5191, 14.2748, 0.1172, 2.0383, 72.7027, 0.0, 10.7449, 0.0, 0.0, positive
1.5142, 14.3535, 1.416, 1.642, 74.209, 0.0, 8.2091, 0.0, 0.0, positive
1.5196, 14.3782, 0.5694, 0.7082, 73.3087, 0.0, 10.8759, 0.0, 0.0, positive
1.5191, 14.052, 1.569, 1.7429, 72.496, 0.0, 10.0231, 0.0, 0.0, positive
1.5197, 14.5703, 0.0178, 0.5866, 73.4556, 0.0, 11.1899, 0.0, 0.0, positive
1.5196, 14.3533, 0.6472, 0.7285, 73.2856, 0.0, 10.829, 0.0, 0.0, positive
1.5119, 17.1517, 0.0747, 0.4752, 75.1315, 0.0, 6.9618, 0.0, 0.0, positive
1.5161, 14.2746, 0.8721, 1.8144, 73.6443, 0.0, 9.237, 0.0, 0.0, positive
1.5193, 14.2601, 1.2842, 1.0981, 72.8819, 0.0, 10.3338, 0.0, 0.0, positive
1.5112, 17.3775, 0.0018, 0.3423, 75.4077, 0.0, 6.6481, 0.0, 0.0, positive
1.5131, 14.4073, 1.7315, 1.5409, 74.5249, 0.0, 7.6188, 0.0, 0.0, positive
1.5138, 14.4203, 1.5289, 1.4189, 74.4167, 0.0, 8.0365, 0.0, 0.0, positive
1.519, 14.217, 2.0395, 1.6002, 72.3972, 0.0, 9.6544, 0.0, 0.0, positive
1.5189, 14.6016, 1.4156, 1.67, 72.4472, 0.0, 9.8006, 0.0, 0.0, positive
1.5152, 16.0493, 0.0, 0.4444, 74.4982, 0.0, 8.8041, 0.0, 0.0, positive
1.5191, 14.0956, 0.8578, 1.9006, 72.6061, 0.0, 10.4139, 0.0, 0.0, positive
1.5192, 13.9016, 2.3992, 1.3859, 72.5537, 0.0, 9.6638, 0.0, 0.0, positive
1.5156, 15.4719, 1.3492, 1.0303, 73.6925, 0.0, 8.299, 0.0, 0.0, positive
1.5196, 14.4918, 0.0, 0.8145, 73.355, 0.0, 11.1634, 0.0, 0.0, positive
1.5197, 14.5119, 0.1515, 0.5992, 73.433, 0.0, 11.1276, 0.0, 0.0, positive
1.5158, 15.9324, 0.4737, 1.19, 73.6443, 0.0, 8.6489, 0.0, 0.0, positive
1.5151, 15.6787, 1.203, 0.9557, 73.8786, 0.0, 8.1198, 0.0, 0.0, positive
1.5114, 16.9024, 0.2793, 0.5333, 75.2718, 0.0, 6.7977, 0.0, 0.0, positive
1.5183, 14.1849, 0.2534, 2.0105, 73.0019, 0.0, 10.4064, 0.0, 0.0, positive
1.5196, 14.281, 0.8732, 0.7875, 73.2184, 0.0, 10.6928, 0.0, 0.0, positive
1.5193, 13.9299, 2.2203, 1.2534, 72.7304, 0.0, 9.7877, 0.0, 0.0, positive
1.5194, 13.8286, 2.3576, 1.2069, 72.7525, 0.0, 9.7723, 0.0, 0.0, positive
1.519, 14.6312, 0.4469, 1.8907, 72.6011, 0.0, 10.3499, 0.0, 0.0, positive
1.5193, 13.8328, 2.1167, 1.2989, 72.7585, 0.0, 9.9029, 0.0, 0.0, positive
1.5191, 14.0784, 1.1382, 1.8384, 72.5627, 0.0, 10.2598, 0.0, 0.0, positive
1.5192, 14.2314, 1.812, 1.3917, 72.6645, 0.0, 9.8335, 0.0, 0.0, positive
1.5191, 14.037, 1.8138, 1.6886, 72.4581, 0.0, 9.8885, 0.0, 0.0, positive
1.5191, 13.9915, 2.3898, 1.5432, 72.3881, 0.0, 9.5819, 0.0, 0.0, positive
1.5183, 13.8962, 2.2939, 1.2501, 73.0741, 0.0, 9.3856, 0.0, 0.0, positive
1.519, 14.5535, 1.4937, 1.6612, 72.4409, 0.0, 9.7823, 0.0, 0.0, positive
1.5155, 15.4765, 1.2781, 0.7906, 74.0059, 0.0, 8.3, 0.0, 0.0, positive
1.5193, 13.9527, 1.3122, 1.5999, 72.751, 0.0, 10.2763, 0.0, 0.0, positive
1.5192, 14.0407, 0.7211, 1.8211, 72.7455, 0.0, 10.5507, 0.0, 0.0, positive
1.5191, 14.2618, 0.1051, 2.0437, 72.7064, 0.0, 10.7593, 0.0, 0.0, positive
1.5191, 13.9692, 2.3921, 1.5042, 72.4292, 0.0, 9.6022, 0.0, 0.0, positive
1.5194, 14.3684, 0.0, 1.2727, 73.1338, 0.0, 11.0635, 0.0, 0.0, positive
1.5176, 15.2615, 0.0, 0.5054, 73.9584, 0.0, 10.0818, 0.0, 0.0, positive
1.5144, 14.2684, 1.8869, 1.463, 74.161, 0.0, 8.0632, 0.0, 0.0, positive
1.5196, 14.2765, 0.8875, 0.7912, 73.2141, 0.0, 10.6842, 0.0, 0.0, positive
1.5125, 16.9567, 0.1385, 0.5895, 74.8937, 0.0, 7.2316, 0.0, 0.0, positive
1.5133, 16.667, 0.0, 0.3966, 74.9215, 0.0, 7.8023, 0.0, 0.0, positive
1.5181, 14.5226, 0.413, 0.7918, 73.7316, 0.0, 10.3592, 0.0, 0.0, positive
1.5191, 14.0908, 0.9361, 1.8832, 72.594, 0.0, 10.3709, 0.0, 0.0, positive
1.5191, 14.0058, 2.3715, 1.5539, 72.3772, 0.0, 9.5845, 0.0, 0.0, positive
1.5191, 14.3853, 0.2194, 1.9925, 72.6712, 0.0, 10.6224, 0.0, 0.0, positive
1.5193, 13.9552, 1.2949, 1.6064, 72.7508, 0.0, 10.2843, 0.0, 0.0, positive
1.5144, 16.37, 0.3305, 0.9335, 74.1781, 0.0, 8.0434, 0.0, 0.0, positive
1.5191, 14.0703, 1.2704, 1.8091, 72.5422, 0.0, 10.1872, 0.0, 0.0, positive
1.5147, 14.4423, 1.2893, 1.2842, 74.2696, 0.0, 8.5353, 0.0, 0.0, positive
1.5129, 14.6057, 1.6223, 1.4563, 74.6069, 0.0, 7.5276, 0.0, 0.0, positive
1.5192, 14.1814, 1.8798, 1.3688, 72.6754, 0.0, 9.8259, 0.0, 0.0, positive
1.5196, 14.3517, 0.6524, 0.7299, 73.2841, 0.0, 10.8258, 0.0, 0.0, positive
1.5193, 14.7868, 0.4092, 1.1784, 72.9647, 0.0, 10.5539, 0.0, 0.0, positive
1.5159, 15.9246, 0.4763, 1.1946, 73.6348, 0.0, 8.6596, 0.0, 0.0, positive
1.5191, 14.0292, 1.9414, 1.6603, 72.4384, 0.0, 9.8184, 0.0, 0.0, positive
1.5191, 14.0059, 2.3218, 1.576, 72.3795, 0.0, 9.6094, 0.0, 0.0, positive
1.5129, 16.8048, 0.0, 0.3859, 75.0159, 0.0, 7.5787, 0.0, 0.0, positive
1.5193, 14.2492, 0.0, 1.7155, 72.92, 0.0, 10.9671, 0.0, 0.0, positive
