@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.231, 1.566, 1.314, 0.474, -0.253, 0
2.822, 0.316, -0.097, 0.091, -0.062, 0
0.213, 1.448, 0.992, 0.338, 0.0, 0
0.249, 1.297, 2.72, -0.722, -0.384, 0
0.675, 2.061, 0.701, 0.248, -0.121, 0
0.324, 1.276, 0.55, 0.378, 0.385, 0
0.312, 0.538, 1.261, 0.777, 0.0, 1
1.026, 2.185, -0.539, 0.206, 0.252, 0
0.472, 2.321, 1.722, 0.716, -0.3, 0
0.567, 0.863, 1.979, -0.496, 0.416, 1
2.153, 1.127, 0.359, -0.105, -0.062, 0
0.212, 1.237, 0.848, 1.092, -0.437, 0
-0.164, 1.49, 1.931, 0.699, 0.0, 0
0.192, 0.638, 0.498, 0.73, 1.219, 1
0.648, 0.484, 0.776, 1.913, -0.599, 0
0.303, 2.016, -0.448, 0.305, -0.123, 0
1.021, 2.274, -0.52, -0.19, -0.12, 0
0.264, 1.209, 2.464, -0.669, -0.305, 0
0.184, 0.425, 0.952, 2.461, -0.845, 0
-0.993, -0.805, -0.294, -0.151, -0.112, 0
0.28, 0.552, 0.725, 1.926, -0.783, 1
0.24, 1.068, 2.387, -0.747, -0.297, 0
0.343, 1.708, 0.602, 0.25, 0.138, 0
2.469, 0.32, 0.113, 0.082, 0.063, 0
1.186, 2.573, 1.102, 0.344, 0.194, 1
2.307, 1.995, -0.279, -0.144, -0.087, 0
0.37, 1.143, 2.195, -0.54, -0.577, 1
0.19, 0.987, 2.322, -0.656, -0.279, 0
0.607, 2.773, -0.348, -0.168, 0.145, 0
1.16, 1.236, -0.238, -0.093, -0.058, 0
1.287, 2.039, -0.425, -0.476, 1.222, 0
2.586, 0.614, 0.19, 0.162, 0.101, 0
0.999, 2.847, 0.928, 0.438, -0.144, 1
0.692, 1.18, 1.666, 0.683, -0.224, 0
0.797, 2.197, -0.479, -0.19, 0.0, 0
0.235, 0.527, 0.381, 0.925, 0.949, 0
0.377, 0.801, 2.391, -0.743, -0.506, 1
0.833, 2.441, 1.525, 0.436, -0.162, 1
0.152, 0.631, 1.342, 2.041, 0.0, 0
2.534, 0.387, 0.641, 1.019, -0.339, 0
0.297, 0.661, 2.416, -0.789, 1.02, 1
0.642, 2.074, -0.419, -0.181, -0.104, 0
2.531, 0.387, 0.64, 1.019, -0.337, 0
0.157, 0.841, 0.912, 2.023, -0.689, 0
1.488, 1.97, 0.515, 1.191, -0.329, 0
1.022, 1.607, -0.248, -0.109, 0.11, 0
2.01, 1.07, 0.359, -0.085, -0.051, 0
1.089, 2.187, 1.117, 0.572, 0.85, 0
1.127, 2.254, -0.299, 0.172, -0.16, 0
2.673, 0.831, 1.16, -0.308, -0.124, 0
0.629, 2.673, 1.008, 0.403, -0.177, 0
0.454, 0.779, 1.472, 1.167, -0.397, 1
0.432, 0.615, 1.981, -0.682, 0.457, 1
1.146, 1.426, 1.665, -0.464, 0.846, 1
0.56, 1.341, 1.919, -0.489, -0.206, 0
0.135, 0.68, 1.173, 1.552, 0.0, 1
1.576, 1.608, -0.304, -0.121, 0.108, 0
0.227, 1.064, 2.302, 1.11, -0.354, 0
0.296, 1.085, 2.155, -0.596, -0.31, 1
0.259, 1.413, 0.988, -0.348, 0.246, 0
2.102, 0.355, -0.092, 0.095, -0.047, 0
0.186, 0.487, 0.289, 0.693, 0.0, 1
0.075, 0.376, 0.311, 0.424, 0.0, 0
0.296, 1.138, 2.518, -0.974, 0.0, 0
0.369, 1.313, 1.405, -0.574, -0.313, 1
0.302, 0.915, 2.528, -0.668, -0.52, 1
0.216, 1.593, 1.12, 0.516, 0.0, 0
0.662, 0.862, 1.361, 0.827, -0.796, 1
0.152, 0.824, 1.225, 2.058, 0.0, 0
0.599, 2.53, -0.481, -0.343, 1.107, 0
0.164, 0.556, -0.683, 2.022, 0.0, 0
1.155, 2.218, 1.672, -0.313, -0.166, 1
0.58, 3.373, -0.566, -0.245, -0.146, 0
3.223, 0.698, -0.13, -0.061, -0.046, 0
0.231, 2.426, 0.676, 1.775, -0.545, 0
0.939, 1.4, 1.587, 1.303, -0.455, 1
0.159, 0.378, 0.46, -0.601, 1.794, 0
1.222, 1.182, -0.186, -0.099, -0.054, 0
2.416, 0.88, -0.137, 0.094, -0.035, 0
1.176, 2.074, -0.336, 0.254, -0.135, 0
0.313, 0.654, 1.664, 0.789, 0.66, 1
0.745, 2.821, -0.503, -0.249, 0.884, 0
2.918, 0.994, 0.745, -0.148, -0.079, 0
0.41, 2.154, 1.28, 0.836, 1.02, 1
1.029, 1.893, 0.658, -0.432, 1.155, 0
1.408, 1.792, -0.344, -0.124, -0.081, 0
3.079, 0.491, -0.124, -0.084, 0.071, 0
0.137, 0.587, 1.131, 0.668, 0.544, 1
2.676, 0.308, 0.45, 0.983, -0.226, 0
0.145, 0.392, 0.477, 2.189, -0.911, 0
0.79, 2.386, -0.403, 0.24, 0.164, 0
0.268, 1.599, 0.712, 0.28, -0.11, 0
0.512, 2.054, -0.377, 0.473, 1.449, 0
1.086, 1.163, -0.272, -0.118, -0.06, 0
0.2, 0.764, 0.892, 1.241, -0.772, 1
0.087, 0.302, 0.304, 0.535, 0.0, 0
0.539, 0.555, 2.047, 1.247, 1.558, 1
0.656, 3.296, -0.554, 0.722, 0.378, 1
0.546, 0.449, 2.054, 0.936, 1.639, 1
0.186, 0.699, 0.514, 0.797, 0.0, 1
0.222, 1.521, 1.321, -0.514, 0.0, 0
1.051, 2.063, -0.427, 0.231, -0.132, 0
0.079, 0.293, 0.883, -0.332, -0.419, 1
0.383, 2.973, -0.529, -0.241, -0.153, 0
2.885, -0.282, 1.362, 0.503, -0.216, 0
0.991, 2.986, 0.833, 0.648, 0.314, 0
0.324, 1.166, 2.049, 0.952, -0.677, 1
0.295, 0.921, 1.125, 1.018, 0.0, 1
0.121, 0.582, 1.368, 2.225, 0.0, 0
0.208, 0.897, 0.738, 1.64, -0.648, 1
0.767, 1.165, 0.339, -0.1, -0.065, 0
0.131, 0.316, 0.492, -0.883, 0.0, 0
4.107, 0.607, -0.107, -0.047, -0.033, 0
0.195, 0.419, 1.9, 1.248, 1.47, 1
0.213, 1.071, 2.003, -0.609, -0.229, 0
0.174, 0.938, 0.513, 1.097, 0.886, 1
0.144, 0.335, 0.474, 1.668, 0.0, 0
0.711, 2.712, 1.415, -0.44, -0.2, 0
0.181, 1.132, 2.038, -0.56, 0.0, 0
1.644, 1.98, 0.579, 1.252, -0.293, 0
0.181, 0.509, 0.75, 1.97, 0.0, 0
0.451, 1.433, -0.363, -0.198, -0.189, 0
3.483, 0.479, -0.134, 0.108, 0.082, 0
0.049, 0.309, 0.337, -0.447, -0.559, 0
0.744, 1.505, 0.909, 0.437, 0.231, 0
1.929, 0.828, 0.178, 0.163, 0.159, 0
0.634, 3.05, -0.59, 0.876, -0.329, 0
1.032, 2.486, -0.491, 0.28, 0.607, 0
0.576, 0.551, 1.96, 1.163, 1.59, 1
0.169, 1.441, 1.267, 0.545, -0.214, 0
0.721, 1.473, 1.911, 0.746, 1.298, 1
0.363, 0.802, 1.001, 1.568, -0.936, 1
1.26, 0.695, -0.122, 0.112, 0.109, 0
2.646, 0.98, -0.149, -0.092, -0.039, 0
3.341, -0.275, -0.106, -0.069, -0.051, 0
0.405, 3.056, -0.609, -0.304, -0.271, 0
0.954, 1.444, 1.608, 0.716, 0.689, 1
0.288, 1.247, 2.861, -0.914, -0.366, 0
0.799, 2.609, -0.435, -0.262, -0.246, 0
1.972, 2.6, -0.411, 0.303, 0.2, 0
0.279, 1.395, 2.985, -0.752, 0.0, 0
0.098, 0.307, 0.415, 1.045, -0.403, 1
0.183, 0.64, 0.717, 1.903, -0.738, 0
0.711, 2.448, -0.47, 0.255, 0.166, 0
0.352, 1.16, 1.638, 0.621, -0.535, 0
-0.712, 0.483, 0.166, 0.148, -0.082, 0
-0.668, -0.709, -0.391, -0.143, -0.089, 0
0.505, 1.929, 2.448, -0.626, -0.321, 0
0.358, 0.471, 2.017, 0.907, 0.39, 1
0.294, 1.074, 0.746, 1.111, -0.805, 1
0.247, 1.17, 2.051, -0.56, 0.573, 0
0.132, 0.456, 0.442, -0.498, 1.078, 1
0.308, 1.204, 1.5, 0.569, -0.32, 0
1.667, 1.272, -0.24, 0.204, 0.163, 0
2.411, 1.293, 0.256, 0.226, -0.103, 0
0.836, 2.717, 1.521, -0.364, -0.173, 1
3.167, 0.529, -0.143, 0.172, -0.063, 0
0.465, 0.499, 2.231, 0.939, 0.589, 1
0.436, 0.614, 0.964, 2.308, -0.968, 0
0.448, 2.024, 0.899, 0.33, 0.0, 0
0.332, 1.281, 0.901, 1.925, -0.568, 1
3.684, 0.362, -0.1, -0.07, 0.052, 0
3.221, 0.509, -0.151, 0.16, -0.06, 0
3.665, 0.822, -0.158, -0.087, -0.055, 0
1.188, 2.725, -0.47, -0.186, 0.39, 0
0.925, 2.303, -0.408, -0.144, -0.084, 0
0.555, 2.197, -0.337, 0.199, -0.146, 0
0.219, 0.562, 0.59, 1.387, 0.0, 1
2.146, 0.439, 0.159, 0.129, -0.139, 0
0.976, 0.857, 2.104, 0.725, 0.368, 0
0.204, 0.567, 2.562, -0.649, 0.398, 0
0.359, 1.057, 2.371, -0.781, -0.393, 0
0.414, 0.577, 0.988, 1.104, 0.0, 1
2.222, 1.239, 0.352, 0.147, -0.095, 0
2.286, 1.321, 0.696, -0.171, 0.204, 0
1.543, 1.994, -0.283, -0.126, 0.103, 0
0.695, 1.923, -0.27, -0.128, -0.07, 0
3.259, 0.65, 0.176, 0.112, -0.066, 0
0.421, 1.494, 1.362, 1.755, 0.0, 1
0.192, 1.594, 2.314, -0.694, 0.0, 0
0.197, 2.013, 1.871, -0.6, -0.234, 0
0.378, 1.737, 1.078, -0.445, 0.0, 0
0.88, 2.143, 0.546, 0.306, -0.234, 0
0.965, 1.317, -0.295, -0.121, -0.067, 0
2.916, 0.539, -0.126, 0.125, -0.06, 0
0.223, 0.497, 1.054, 1.099, 0.0, 1
0.107, 0.274, 0.337, 1.426, 1.803, 0
1.214, 1.716, -0.243, -0.108, 0.1, 0
0.636, 0.8, 1.945, 0.737, 0.362, 0
0.338, 1.087, 2.791, -0.824, -0.381, 0
0.106, 0.387, 0.835, 0.639, 0.0, 1
0.34, 0.757, 2.362, 0.896, 0.515, 0
0.216, 0.796, 0.792, 1.752, 0.0, 1
0.77, 2.496, -0.402, 0.24, 0.163, 0
0.227, 0.614, 1.646, -1.219, -0.42, 0
0.135, 0.606, 1.343, 2.28, 0.0, 0
0.87, 2.369, -0.472, -0.198, -0.127, 0
0.27, 0.667, 1.827, 1.038, -0.456, 0
0.156, 0.678, 1.319, 0.914, 0.0, 1
1.371, 0.965, 0.751, 0.638, 0.325, 1
0.356, 1.13, 2.504, -0.678, -0.344, 1
0.159, 1.028, 1.872, -0.768, -0.553, 0
0.395, 0.526, 0.974, 0.965, 0.0, 1
0.453, 1.5, 1.71, 0.959, 0.989, 1
0.545, 0.752, 2.025, -0.604, -0.363, 1
-0.112, 1.025, -0.216, 0.613, -0.195, 0
0.356, 1.503, 1.271, -0.396, -0.193, 0
2.072, 0.268, -0.11, 0.081, -0.082, 0
2.141, 1.604, 1.045, -0.292, -0.134, 0
1.204, 0.779, 0.25, -0.105, 0.122, 0
1.512, 2.058, 0.567, 0.668, 0.487, 0
1.134, 0.882, -0.142, 0.07, 0.078, 0
0.134, 0.681, 1.628, 1.01, 0.56, 0
0.195, 1.204, 1.497, -0.432, 0.0, 0
1.936, 0.848, 0.203, 0.154, 0.112, 0
0.081, 0.552, 0.265, 0.6, 0.0, 1
1.331, 1.429, 0.662, 1.619, -0.467, 0
0.36, 1.966, 0.718, 0.319, -0.182, 0
-0.185, -0.656, -0.802, -0.64, -0.32, 0
0.257, 0.577, 0.638, 1.253, 1.175, 0
0.523, 2.012, 0.604, 0.371, -0.31, 0
0.378, 1.673, 0.824, 0.405, -0.173, 0
0.951, 2.417, -0.392, 0.438, 0.924, 0
0.55, 1.931, -0.482, -0.207, -0.128, 0
2.786, -0.269, 0.124, 0.11, 0.063, 0
0.35, 2.637, -0.533, -0.26, -0.136, 0
0.608, 2.771, -0.436, 0.249, -0.268, 0
0.179, 1.489, 1.166, 0.601, 0.0, 0
0.374, 1.254, 1.206, 0.576, -0.215, 0
0.54, 0.904, 2.359, -0.803, -0.314, 0
1.903, 1.271, -0.244, 0.122, 0.098, 0
0.677, 1.384, 1.891, 0.778, 0.913, 1
0.48, 1.042, 1.914, -0.442, -0.221, 0
0.231, 0.52, 0.871, 1.957, 0.0, 1
0.41, 2.084, 1.072, 0.426, -0.289, 0
0.618, 0.884, 1.435, 1.215, -0.349, 1
0.288, 1.931, 1.916, -0.618, 0.0, 0
3.237, 0.521, 1.084, -0.263, -0.096, 0
0.828, 2.132, -0.487, -0.205, -0.147, 0
0.657, 2.528, 1.186, 0.882, -0.241, 1
2.328, 0.582, -0.107, 0.077, -0.038, 0
1.002, 1.378, 1.598, 1.22, -0.531, 1
0.228, 1.354, 1.264, -0.39, 0.246, 0
1.05, 1.982, 0.613, 1.541, -0.359, 0
3.381, 0.566, 0.22, 0.202, 0.565, 0
0.205, 1.433, 0.976, 0.327, 0.198, 0
0.325, 0.758, 2.099, 0.746, 0.405, 0
1.017, 2.97, -0.393, -0.158, -0.138, 0
0.205, 1.397, 1.363, 0.508, -0.177, 0
0.082, 0.389, 0.378, -0.617, 1.555, 0
0.362, 1.662, 2.35, -0.636, 0.0, 0
0.62, 1.132, 2.107, 1.763, 0.0, 1
1.31, 2.463, -0.334, -0.148, -0.103, 0
0.098, 0.335, 0.564, 0.887, 1.862, 1
0.418, 0.603, 2.147, 1.006, -0.831, 1
0.255, 1.078, 2.834, -0.775, 0.0, 0
-0.114, -0.497, -0.851, -0.818, -0.459, 1
0.119, 0.298, 0.627, 1.522, 0.934, 0
0.157, 0.432, 0.837, 1.902, -0.875, 0
0.296, 0.584, 0.554, 1.044, 1.251, 1
0.223, 0.609, 1.516, 0.618, 0.0, 1
0.864, 1.505, -0.241, -0.13, 0.097, 0
0.181, 1.783, 2.053, -0.661, -0.25, 0
0.847, 1.717, 0.516, 0.312, -0.322, 0
1.007, 2.845, -0.424, 0.422, 0.617, 0
2.946, 1.555, -0.247, -0.097, -0.066, 0
0.304, 1.005, 0.773, 1.871, 1.331, 1
0.427, 1.543, 0.576, -0.193, -0.123, 0
0.543, 1.229, 1.472, 1.902, -0.541, 1
1.625, 1.636, 0.389, -0.134, 0.125, 0
0.237, 1.014, 2.321, -0.849, 0.0, 0
0.081, 0.381, 0.553, 0.93, 0.0, 0
0.147, 0.817, 1.534, 1.705, 0.0, 0
0.305, 2.821, -0.423, -0.432, 1.228, 0
1.052, 2.272, -0.433, -0.186, 0.744, 0
0.442, 0.747, 0.436, 1.08, 0.996, 1
1.352, 2.625, 0.972, -0.205, -0.12, 1
2.099, 0.889, -0.175, 0.09, -0.076, 0
0.566, 2.962, -0.624, 0.388, -0.181, 0
2.117, 1.646, 0.982, -0.302, -0.129, 0
0.104, 0.463, 1.052, 2.313, 0.0, 0
0.185, 0.932, 2.296, -0.612, -0.258, 0
0.143, 0.184, 0.869, -0.496, -0.817, 1
2.793, 0.551, 0.577, 0.686, 0.4, 0
0.228, 0.471, 1.647, 1.183, 0.704, 0
0.619, 1.695, -0.579, -0.233, -0.163, 0
0.117, 0.276, 0.554, 1.391, 1.095, 0
0.219, 1.447, 2.493, -0.868, -0.375, 0
0.308, 1.127, 2.844, -0.784, -0.377, 0
0.222, 0.672, -0.637, 2.422, -1.051, 1
0.794, 1.828, 0.782, -0.201, 0.12, 0
0.422, 1.875, 1.571, -0.461, 0.272, 0
1.952, 1.886, 0.387, 0.323, 0.409, 0
1.098, 2.692, 0.812, 0.348, 0.0, 0
0.33, 1.541, 1.985, -0.539, 0.0, 0
0.576, 2.703, 1.06, 0.599, -0.229, 0
1.304, 1.219, -0.234, 0.12, 0.094, 0
2.116, 2.138, 0.544, 0.57, 0.265, 0
0.095, 0.496, 0.329, 0.523, 1.063, 0
0.134, 0.334, 0.428, 1.189, 0.0, 0
0.226, 0.704, 0.719, 1.741, 0.0, 0
0.58, 0.542, 1.528, 0.834, 0.478, 1
0.103, 0.459, 0.986, 0.0, 0.0, 0
-0.239, 3.211, -0.684, -0.311, -0.169, 0
3.065, 0.355, -0.113, -0.073, 0.063, 0
0.558, 3.17, -0.711, -0.281, 0.197, 0
2.675, 0.309, 0.452, 0.984, -0.225, 0
1.173, 1.814, 1.537, 0.741, -0.208, 1
2.198, 0.27, 0.513, 1.842, -0.529, 0
0.541, 2.888, -0.673, -0.254, -0.152, 0
0.499, 2.156, 1.685, -0.588, 0.0, 0
2.321, 0.872, 0.503, 1.212, -0.375, 0
1.219, 2.015, -0.417, -0.187, 0.156, 0
0.305, 1.08, 0.845, 2.245, -0.67, 1
0.779, 2.109, 1.791, -0.419, -0.159, 1
0.672, 0.602, 0.686, 2.131, -0.569, 1
0.563, 3.544, -0.707, 0.456, 0.484, 0
0.406, 2.574, 2.009, -0.413, -0.177, 1
0.173, 0.375, 0.527, -0.324, 0.0, 0
1.942, 0.607, 0.137, 0.203, -0.139, 0
0.25, 0.735, 0.944, 2.285, 0.0, 1
0.072, 0.265, 0.359, 1.007, 0.0, 0
0.279, 2.161, 0.845, 1.08, -0.375, 1
0.199, 0.584, 1.436, 0.621, 1.315, 1
0.204, 0.779, 0.901, 1.357, 0.0, 1
-0.063, 0.752, 1.637, 1.324, 0.991, 1
0.851, 2.025, 0.903, 0.524, 0.634, 1
0.266, 0.825, 2.484, -0.527, -0.319, 0
0.708, 2.221, -0.545, -0.188, 0.0, 0
0.307, 2.782, -0.427, -0.206, -0.138, 0
0.482, 1.236, 2.547, -0.705, -0.287, 0
3.061, 0.583, 0.224, 0.326, -0.088, 0
0.236, 1.741, 0.822, 0.382, -0.175, 0
0.885, 2.87, -0.414, -0.173, -0.117, 0
1.95, 1.598, 0.495, 0.252, 0.503, 0
0.089, 0.322, 0.591, 0.521, -0.299, 1
0.078, 0.353, 0.424, 1.574, -0.853, 0
1.144, 2.693, -0.415, -0.174, -0.104, 0
0.383, 1.267, 1.145, 0.575, -0.212, 0
0.175, 0.516, 0.862, 1.92, -0.775, 1
0.211, 0.785, 0.6, 2.162, -0.935, 1
3.041, 1.383, -0.265, 0.691, -0.179, 0
0.384, 1.323, -1.087, -0.618, -0.488, 1
