Method,Model,Methods+Model,Dataset,y_true,y_score
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.464439
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.540469
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.610586
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.353348
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.423648
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.584695
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.344360
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.335926
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.502864
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.486637
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.357214
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.476246
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.391872
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.315365
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.500169
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.388338
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.301989
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.341210
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.424840
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.573926
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.472544
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.424579
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.376760
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.388139
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.413910
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.392583
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.437163
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.486027
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.327640
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.293955
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.394832
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.296032
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.323517
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.469095
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.378592
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.480460
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.444994
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.386705
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.463684
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.469840
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.365835
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.421771
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.405191
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.441617
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.511142
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.504932
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.402866
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.528781
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.593928
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.432115
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.575637
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.649616
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.278409
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.387563
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.473030
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.452203
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.392040
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.460470
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.388058
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.464589
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.493042
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.424651
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.517413
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.405530
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.388072
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.331153
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.484085
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.436668
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.401833
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.466531
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.468826
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.432165
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.539562
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.338864
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.525688
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.444800
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.494327
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.592843
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.393908
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.439687
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.562595
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.487894
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.389081
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.494142
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.527784
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.410147
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.387145
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.424119
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.480170
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.414169
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.465735
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.399885
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.547362
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.340523
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.639304
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.401801
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.324321
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.616049
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.525017
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.510348
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.422994
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.342710
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.589504
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.430734
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.501965
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.517491
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.470354
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.523970
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.509591
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.508027
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.457626
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.408076
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.426673
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.302885
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.289199
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.341062
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.386008
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.285913
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.287030
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.566010
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.397239
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.441793
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.366930
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.426488
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.477766
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.332102
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.466594
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.376913
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.494873
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.385139
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.416438
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.338552
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.403567
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.381794
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.452712
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.384306
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.308007
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.337458
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.526616
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.443514
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.490849
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.561482
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.569133
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.427289
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.492775
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.355458
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.492072
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.473851
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.320326
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.424135
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.542441
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.392234
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.571024
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.519810
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.322539
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.465313
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.510943
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.464184
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.498534
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.530988
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.465474
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.358224
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.536995
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.387132
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.326423
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.342035
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.580751
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.633716
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.457910
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.409595
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.438317
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.523042
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.556065
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.609426
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.435050
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.449165
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.471507
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.451492
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.597158
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.539287
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.484123
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.545411
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.504465
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.457990
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.386357
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.406920
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.462014
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.492129
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.572532
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.540448
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.615459
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.419907
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.502096
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.469184
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.438809
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.404796
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.457550
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.436090
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.311164
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.456219
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.511528
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.456367
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.339418
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.437285
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.579348
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.327666
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.281944
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.423376
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.415408
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.285751
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.383399
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.389009
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.340286
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.458911
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.532481
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.382517
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.333996
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.354376
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.266222
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.328158
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.564622
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.557682
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.411301
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.468705
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.492353
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.489367
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.303894
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.421892
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.254374
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.406729
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.360984
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.486369
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.472458
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.369346
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.549429
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.415616
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.435577
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.318301
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.667128
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.407332
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.378603
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.496466
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.298585
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.333068
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.504673
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.347735
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.609897
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.519865
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.537847
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.503279
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.502850
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.508644
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.442376
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.426286
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.432345
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.402561
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.518940
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.433927
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.279075
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.359397
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.360798
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.391423
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.470391
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.338692
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.471731
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.512800
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.455032
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.340752
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.466305
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.330796
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.388459
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.444104
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.602485
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.534843
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.375236
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.376827
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.439322
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.478176
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.354730
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.497469
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.405084
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.484368
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.374173
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.547940
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.488973
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.337208
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.226640
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.456284
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.538440
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.441275
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.339756
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.402766
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.459775
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.429613
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.348743
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.519413
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.368352
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.474538
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.420504
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.427528
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.449093
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.515970
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.522673
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.551103
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.391833
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.383507
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.494541
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.431632
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.461262
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.535005
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.574119
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.486682
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.482298
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.501544
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.381524
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.354275
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.405989
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.431154
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.333835
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.383436
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.484588
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.447617
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.420988
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.346422
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.312213
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.295890
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.476527
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.560473
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.483746
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.468213
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.366821
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.271446
StandardAdaBoost,-,StandardAdaBoost,yeast1,0,0.475101
StandardAdaBoost,-,StandardAdaBoost,yeast1,1,0.564677
