@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
1.495, 2.295, 0.593, 0.225, 0.134, 0
0.98, 2.364, -0.496, -0.186, -0.109, 0
1.963, 1.677, -0.332, -0.109, 0.102, 0
1.293, 1.097, -0.78, -0.596, -0.315, 0
0.138, 0.34, 0.451, 1.308, 0.0, 0
0.404, 1.029, 2.73, -0.799, -0.338, 0
0.976, 0.857, 2.104, 0.725, 0.368, 0
1.653, 0.732, -0.095, 0.065, 0.047, 0
3.386, -0.301, 0.136, -0.078, -0.055, 0
1.325, 1.206, -0.296, -0.096, 0.075, 0
2.708, 0.54, -0.143, -0.084, 0.139, 0
0.796, 1.331, -0.325, -0.101, -0.062, 0
0.496, 1.938, 2.365, -0.645, -0.329, 0
0.366, 1.727, 0.828, 0.386, -0.202, 0
2.581, 0.735, 0.341, -0.08, 0.067, 0
0.399, 0.824, 2.574, -0.686, 0.621, 0
1.977, 1.376, -0.303, 0.236, -0.095, 0
0.487, 2.467, -0.428, -0.213, -0.121, 0
0.265, 0.819, 2.521, -0.627, -0.34, 0
0.068, 0.272, 0.47, 1.286, 0.0, 0
0.313, 1.268, 2.852, -0.841, -0.445, 0
1.37, 2.042, -0.356, 0.214, 0.23, 0
0.438, 3.303, -0.411, -0.186, -0.166, 0
2.061, 1.922, -0.293, 0.174, 0.114, 0
1.799, 2.156, 0.795, -0.197, 0.201, 0
0.312, 2.136, -0.335, -0.184, -0.108, 0
2.665, 0.834, 1.064, -0.276, -0.122, 0
0.422, 1.875, 1.571, -0.461, 0.272, 0
1.001, 1.491, -0.225, -0.094, 0.095, 0
0.183, 1.414, 2.471, -0.728, 0.0, 0
0.445, 2.413, -0.593, -0.228, -0.133, 0
0.158, 0.416, 0.499, 2.135, -0.893, 0
2.819, 0.34, 0.188, 0.085, 0.108, 0
0.327, 2.711, 0.738, 0.307, 0.191, 0
0.155, 0.773, 1.795, 1.076, 0.553, 0
0.43, 2.541, 1.083, -0.482, 0.0, 0
0.65, 3.308, -0.468, -0.263, 0.6, 0
0.231, 1.78, 1.658, 0.697, 0.361, 0
0.27, 0.667, 1.827, 1.038, -0.456, 0
-0.165, -0.917, 2.187, -0.856, -0.516, 0
2.209, 1.314, 0.443, 0.529, 0.745, 0
0.642, 2.01, 1.612, -0.395, 0.0, 0
0.944, 1.258, 0.308, -0.109, 0.072, 0
0.9, 1.372, 0.327, -0.1, -0.067, 0
3.132, 0.557, -0.134, 0.18, -0.066, 0
1.01, 0.987, -0.24, -0.096, 0.0, 0
0.387, 2.211, 0.643, 0.32, -0.136, 0
0.618, 2.662, 1.031, 0.367, 0.0, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.243, 1.265, 2.289, -0.524, 0.0, 0
0.762, 1.413, 0.5, 0.195, -0.081, 0
1.487, 1.568, 1.605, -0.261, -0.131, 0
0.539, 2.177, 2.151, -0.598, -0.311, 0
0.183, 1.136, 1.711, -0.517, 0.0, 0
0.084, 0.41, 0.827, 0.671, 0.478, 0
0.925, 2.303, -0.408, -0.144, -0.084, 0
0.397, 2.921, -0.637, 0.523, 0.0, 0
-0.966, 1.326, -0.329, -0.176, -0.15, 0
0.082, 0.389, 0.378, -0.617, 1.555, 0
0.22, 1.291, 2.661, -0.639, -0.415, 0
0.343, 1.65, 2.263, -0.612, 0.0, 0
0.383, 1.272, 1.29, 0.585, -0.227, 0
0.555, 2.557, 1.385, 0.578, 0.0, 0
0.322, 1.754, 0.628, 0.269, -0.096, 0
-0.194, 2.018, 0.89, 0.504, 0.0, 0
-0.982, 1.558, -0.327, -0.136, -0.086, 0
2.675, 0.309, 0.452, 0.984, -0.225, 0
3.05, 0.402, 1.256, -0.298, -0.115, 0
1.84, -0.254, 0.246, 0.153, -0.101, 0
0.66, 2.362, -0.544, 0.298, 0.15, 0
1.565, 0.867, 1.299, 1.041, 0.559, 0
0.864, 2.681, -0.484, -0.181, -0.12, 0
0.363, 0.994, 2.446, -0.692, -0.384, 0
0.076, 0.356, 0.355, 0.497, 1.253, 0
0.532, 3.369, -0.601, 0.541, 0.0, 0
0.226, 1.816, -0.381, 0.327, -0.119, 0
1.445, 1.367, -0.285, -0.122, 0.107, 0
0.197, 0.858, 1.924, 1.41, -0.48, 0
1.018, 0.77, -0.12, 0.075, 0.081, 0
0.589, 0.89, 1.737, 0.931, -0.557, 0
3.226, -0.214, 0.15, -0.075, 0.073, 0
1.311, 2.079, -0.433, 0.201, -0.252, 0
0.108, 0.378, 0.428, 1.134, 1.297, 0
0.778, 1.038, 0.904, -0.317, -0.164, 0
2.046, 0.532, 2.079, -0.445, -0.161, 0
1.169, 2.579, -0.529, 0.724, 0.488, 0
0.273, 1.306, 2.321, -0.523, 0.519, 0
0.091, 0.443, 0.427, 0.738, -0.721, 0
0.389, 3.191, -0.499, -0.204, -0.136, 0
2.409, 0.29, 0.153, 0.162, -0.061, 0
0.247, 1.554, 0.687, 0.275, 0.163, 0
0.52, 2.213, 1.208, 0.417, -0.195, 0
0.639, 3.1, -0.462, -0.186, -0.127, 0
0.478, 2.033, 2.162, -0.682, 0.0, 0
0.179, 1.111, 1.985, -0.639, -0.268, 0
0.238, 0.454, 1.589, 1.379, 0.692, 0
3.239, 0.65, -0.139, -0.067, 0.058, 0
1.639, 1.796, -0.345, 0.406, 1.027, 0
2.158, 0.882, -0.128, 0.112, 0.11, 0
0.125, 0.295, 0.459, 0.62, -0.96, 0
0.727, 1.561, 0.564, 0.236, 0.214, 0
0.77, 2.496, -0.402, 0.24, 0.163, 0
1.038, 1.656, 0.949, 0.371, 0.632, 0
0.439, 2.005, 2.304, -0.752, 0.0, 0
3.597, 0.63, 0.352, 0.407, -0.137, 0
0.688, 1.433, 0.86, -0.289, 0.169, 0
0.108, 0.355, 0.418, 0.592, 2.053, 0
0.693, 1.99, -0.31, 0.179, -0.114, 0
0.214, 1.294, 0.847, 1.085, -0.415, 0
1.353, 3.078, 0.872, 0.348, 0.0, 0
2.063, 0.377, 0.143, 0.108, 0.1, 0
0.776, 2.22, -0.549, -0.194, 0.145, 0
3.223, 0.698, -0.13, -0.061, -0.046, 0
0.222, 1.017, 2.425, 1.076, -0.367, 0
1.722, 0.517, 2.304, -0.48, -0.191, 0
0.596, 2.869, -0.439, 0.242, 0.196, 0
3.169, 0.412, -0.148, -0.073, -0.045, 0
2.318, 1.826, -0.356, 0.991, -0.285, 0
2.241, 0.78, 0.341, -0.092, -0.053, 0
1.744, 2.206, -0.476, 0.225, -0.153, 0
0.278, 1.8, 1.051, 0.468, -0.191, 0
0.246, 0.477, 1.836, 0.926, 0.48, 0
3.258, 0.541, 0.207, -0.17, 0.648, 0
3.307, 0.503, -0.171, -0.156, 0.598, 0
1.657, 2.263, -0.374, 0.226, 0.161, 0
0.46, 1.935, 1.194, 0.607, -0.212, 0
1.869, 0.81, 0.206, 0.153, 0.105, 0
0.156, 1.334, 1.158, 0.556, -0.214, 0
1.807, 1.094, -0.191, -0.082, 0.068, 0
0.421, 1.055, 2.305, -0.547, 0.344, 0
1.084, 1.697, -0.298, 0.185, -0.102, 0
0.555, 2.793, -0.465, -0.182, -0.125, 0
2.102, 0.355, -0.092, 0.095, -0.047, 0
3.192, 0.675, 0.813, -0.202, -0.083, 0
0.997, 1.896, 0.829, 1.479, -0.4, 0
0.267, 1.948, 1.019, 0.563, 0.0, 0
0.726, 1.023, 0.354, -0.1, 0.069, 0
0.159, 1.307, 0.799, 0.332, 0.0, 0
0.587, 1.028, 1.768, 0.56, -0.322, 0
0.363, 0.4, 0.848, 1.914, -0.623, 0
0.231, 1.302, 1.354, -0.474, -0.239, 0
0.56, 1.341, 1.919, -0.489, -0.206, 0
1.757, 0.972, 0.866, 1.579, -0.449, 0
1.322, 1.153, 0.403, 0.371, -0.395, 0
0.557, 2.204, -0.467, 0.348, -0.259, 0
0.236, 1.741, 0.822, 0.382, -0.175, 0
0.095, 0.413, 0.362, 0.544, 0.0, 0
2.652, 0.972, 0.252, 0.083, -0.052, 0
2.03, 0.636, -0.098, 0.078, 0.056, 0
2.866, 0.545, 0.379, 0.959, -0.256, 0
0.337, 2.682, 0.701, 0.317, 0.194, 0
0.259, 1.389, 1.396, -0.523, 0.0, 0
0.249, 1.039, 3.199, -0.81, -0.372, 0
1.127, 2.254, -0.299, 0.172, -0.16, 0
3.079, 0.491, -0.124, -0.084, 0.071, 0
1.517, 1.41, -0.229, 0.134, -0.08, 0
0.235, 0.966, 2.033, -0.638, -0.266, 0
0.071, 0.312, 0.521, 0.439, 0.422, 0
2.611, 0.661, 0.164, 0.104, -0.053, 0
0.214, 1.31, 1.792, -0.597, -0.244, 0
0.327, 1.618, -0.42, 0.321, -0.126, 0
0.219, 1.133, 2.676, -0.736, -0.438, 0
2.761, 1.125, 1.297, -0.215, -0.097, 0
0.224, 1.072, 2.294, -0.74, -0.456, 0
0.333, 0.427, 0.952, 2.152, -0.796, 0
0.51, 2.301, -0.573, -0.222, 0.0, 0
0.965, 2.664, -0.422, 1.123, -0.381, 0
2.819, 0.719, 1.333, -0.26, -0.104, 0
0.976, 0.774, -0.182, -0.091, 0.111, 0
1.957, 1.436, -0.279, 0.232, -0.102, 0
0.074, 0.307, 0.355, -0.594, 0.0, 0
2.057, 0.308, -0.077, 0.071, -0.098, 0
0.29, 0.831, 1.73, 0.87, 0.0, 0
1.846, 0.467, 0.155, 0.114, 0.107, 0
0.575, 2.035, 0.566, 1.846, -0.496, 0
0.463, 2.106, -0.409, -0.187, -0.098, 0
0.486, 2.458, -0.453, -0.202, 0.0, 0
3.229, 0.401, 0.451, 0.717, -0.291, 0
0.293, 1.058, 2.634, -0.756, 0.0, 0
0.87, 1.801, 0.956, -0.251, -0.156, 0
0.181, 0.48, -0.852, 1.305, -0.543, 0
0.705, 1.796, 1.078, -0.286, 0.215, 0
1.258, 1.761, 0.45, -0.319, 1.599, 0
0.274, 2.028, 0.992, 0.406, 0.0, 0
1.036, 1.783, 0.375, 0.249, -0.15, 0
1.626, 2.0, -0.385, 0.288, 0.81, 0
1.117, 2.55, -0.458, -0.222, -0.135, 0
2.13, 1.266, 0.434, 0.484, 0.764, 0
0.138, 0.361, 0.526, 1.951, -0.665, 0
3.167, 0.529, -0.143, 0.172, -0.063, 0
1.084, 0.767, -0.153, 0.078, 0.079, 0
0.059, 0.287, 0.439, -0.522, 0.0, 0
2.662, 0.624, 0.444, 1.052, -0.295, 0
2.509, 0.448, 1.68, -0.387, -0.146, 0
0.607, 2.526, 1.618, -0.467, -0.205, 0
1.109, 2.796, -0.443, -0.199, 0.278, 0
0.565, 3.345, -0.606, 0.751, -0.27, 0
0.229, 1.09, -0.266, 0.525, 0.0, 0
0.119, 0.298, 0.627, 1.522, 0.934, 0
3.617, -0.272, 0.34, 0.224, -0.073, 0
0.377, 0.522, 1.817, 1.39, -0.38, 0
0.108, 0.298, 0.471, 1.854, 1.152, 0
0.597, 1.624, 1.5, -0.473, -0.197, 0
1.022, 1.834, -0.253, -0.106, 0.1, 0
3.086, 1.188, 0.521, 0.388, 0.274, 0
0.523, 2.466, -0.731, 0.345, 0.0, 0
-0.22, 3.101, -0.64, -0.313, -0.165, 0
0.606, 2.024, 2.367, -0.615, -0.322, 0
0.21, 1.452, 0.79, 0.63, 0.0, 0
0.823, 2.79, -0.414, 0.299, -0.225, 0
0.859, 3.003, -0.501, 0.827, -0.234, 0
2.347, 0.928, 0.413, -0.108, -0.065, 0
0.159, 1.028, 1.872, -0.768, -0.553, 0
0.88, 2.143, 0.546, 0.306, -0.234, 0
1.932, 0.888, -0.324, 0.439, -0.329, 0
0.529, 3.296, -0.577, 0.887, -0.272, 0
2.865, -0.213, 0.166, 0.099, -0.093, 0
3.137, -0.266, 0.108, 0.091, -0.082, 0
0.635, 3.127, -0.56, -0.274, -0.393, 0
0.932, 2.3, -0.49, -0.202, 0.0, 0
0.236, 0.995, 0.492, 0.489, 0.525, 0
0.134, 0.326, 0.478, -0.788, 1.599, 0
2.518, 0.929, 0.45, 0.931, 0.439, 0
0.642, 1.871, -0.317, -0.141, 0.0, 0
1.488, 1.97, 0.515, 1.191, -0.329, 0
0.266, 1.055, 2.807, -0.819, 0.0, 0
3.272, 0.713, -0.131, -0.085, -0.052, 0
0.599, 2.53, -0.481, -0.343, 1.107, 0
0.424, 2.48, 1.386, 0.388, -0.194, 0
0.479, 2.02, -0.35, 0.22, -0.1, 0
0.796, 0.545, 1.334, 2.268, -0.653, 0
0.736, 2.7, -0.486, 0.255, -0.22, 0
1.988, 0.97, 0.184, 0.141, 0.128, 0
0.442, 2.439, -0.453, -0.226, -0.117, 0
0.736, 2.022, -0.329, 0.179, 0.123, 0
0.058, 0.207, -0.126, -0.348, 1.112, 0
0.228, 0.471, 1.647, 1.184, 0.705, 0
0.179, 0.426, 0.679, 1.696, 0.0, 0
2.348, 0.283, 0.143, 0.163, -0.064, 0
0.064, 0.517, 0.571, 0.498, 0.0, 0
0.716, 2.804, 1.443, -0.436, -0.201, 0
1.182, 2.344, -0.414, -0.178, -0.119, 0
1.297, 1.473, -0.26, 0.322, 0.0, 0
1.134, 1.628, 1.065, 0.4, 0.601, 0
0.392, 1.443, 1.052, 0.423, 0.0, 0
1.776, 1.123, -0.177, -0.071, 0.073, 0
0.435, 3.341, -0.518, -0.294, 0.625, 0
2.036, 1.325, 0.513, 0.373, -0.135, 0
0.643, 1.547, -0.301, 0.156, -0.065, 0
0.103, 0.459, 0.986, 0.0, 0.0, 0
0.117, 0.571, 1.476, 1.128, -0.35, 0
0.629, 2.673, 1.008, 0.403, -0.177, 0
0.886, 2.959, -0.421, -0.184, -0.124, 0
3.359, 0.476, 1.096, -0.264, -0.097, 0
0.913, 2.728, -0.394, 0.492, 0.686, 0
2.534, 0.387, 0.641, 1.019, -0.339, 0
0.377, 1.73, 0.729, 0.345, 0.189, 0
3.055, 0.508, -0.123, -0.075, -0.049, 0
1.483, 1.798, 0.666, 0.921, 0.707, 0
0.296, 1.004, 1.78, 0.807, -0.361, 0
0.296, 1.257, 2.688, -0.762, -0.372, 0
1.312, 2.591, 0.874, 0.534, -0.175, 0
0.144, 0.858, 2.303, -0.718, -0.535, 0
0.405, 2.204, 0.864, 0.482, 1.072, 0
0.25, 1.051, 2.859, -0.724, 0.0, 0
2.521, 0.403, -0.107, 0.1, -0.068, 0
0.71, 3.162, -0.393, -0.255, 0.662, 0
3.183, -0.263, -0.099, -0.065, 0.057, 0
0.245, 1.495, 1.543, 0.718, -0.4, 0
2.493, 0.61, 0.189, 0.163, 0.102, 0
1.494, 0.721, -0.143, 0.151, 0.112, 0
0.295, 1.277, 2.28, -0.574, 0.0, 0
0.171, 0.913, 0.815, 1.027, -0.347, 0
0.757, 1.426, 0.594, 0.232, 0.22, 0
0.073, 0.357, 0.324, 0.477, 0.0, 0
0.65, 1.803, -0.366, -0.148, 0.0, 0
1.081, 1.791, -0.267, -0.111, 0.103, 0
0.253, 0.406, 0.468, 1.567, 1.672, 0
0.255, 1.0, 2.106, -0.959, -0.365, 0
0.331, 2.335, -0.436, 0.302, -0.117, 0
2.456, 0.964, 0.686, 0.849, -0.257, 0
2.302, 0.351, -0.09, -0.052, 0.045, 0
2.441, 0.306, 0.14, 0.176, -0.065, 0
1.322, 1.153, 0.403, 0.371, -0.395, 0
0.259, 1.413, 0.988, -0.348, 0.246, 0
0.076, 0.423, 1.138, 1.862, 0.0, 0
0.427, 1.543, 0.576, -0.193, -0.123, 0
3.13, 0.54, 0.201, -0.067, -0.038, 0
0.657, 0.49, 0.812, 2.008, -0.561, 0
0.907, 1.676, 0.617, 0.197, -0.13, 0
2.168, 1.537, 0.842, 0.709, -0.195, 0
0.108, 0.464, 1.302, 1.08, -0.349, 0
0.126, 0.436, 0.541, 1.177, 1.25, 0
2.51, -0.217, 0.213, 0.159, -0.092, 0
0.296, 2.031, 1.457, 0.737, -0.317, 0
2.428, 0.981, 0.294, 0.24, 0.441, 0
0.624, 2.58, -0.602, -0.237, -0.133, 0
1.104, 2.076, 0.701, 1.452, -0.314, 0
0.674, 2.842, -0.383, -0.161, -0.127, 0
0.598, 1.583, -0.355, -0.152, -0.075, 0
0.735, 2.461, 1.539, -0.412, -0.208, 0
0.22, 1.013, 2.32, 1.102, -0.359, 0
1.667, 0.772, 0.16, 0.123, 0.089, 0
0.642, 2.501, 0.739, 0.526, -0.199, 0
3.53, -0.29, 0.154, -0.071, -0.046, 0
2.019, 0.887, 0.359, 0.312, 1.019, 0
3.06, 0.584, 0.224, 0.326, -0.088, 0
0.165, 0.496, 0.467, 0.781, 0.0, 0
3.209, 0.79, 0.242, 0.703, -0.28, 0
0.17, 0.581, 1.363, 1.124, 0.0, 0
0.418, 2.521, -0.509, 0.42, -0.151, 0
2.457, 0.732, 0.172, 0.092, -0.046, 0
1.141, 2.816, -0.424, 0.33, 0.0, 0
0.424, 2.375, 1.004, 0.523, 0.792, 0
1.203, 1.859, 0.476, 0.641, 0.666, 0
0.309, 2.547, -0.477, 0.494, -0.168, 0
0.291, 1.161, 2.308, 0.877, -0.369, 0
2.18, 1.275, 0.459, 0.427, -0.234, 0
0.825, 1.944, -0.342, 0.167, 0.0, 0
0.64, 2.462, 1.133, -0.335, 0.0, 0
1.037, 2.405, -0.368, -0.16, -0.101, 0
0.137, 0.621, 1.369, 2.234, 0.0, 0
0.207, 1.141, 1.935, -0.548, -0.229, 0
0.207, 0.532, 0.667, 1.25, 2.511, 0
0.25, 2.692, -0.599, 0.624, 1.298, 0
0.922, 2.302, -0.467, 0.227, -0.127, 0
0.118, 0.263, 0.533, 1.373, 1.235, 0
2.08, 0.707, -0.111, -0.067, 0.063, 0
3.266, -0.23, 0.174, 0.113, -0.117, 0
2.544, 0.78, 0.363, 0.243, 0.533, 0
2.055, 1.155, 0.3, 0.227, -0.065, 0
0.385, 1.242, 0.828, -0.34, 0.466, 0
0.316, 1.008, 1.844, -0.54, -0.305, 0
3.624, -0.245, 0.444, 0.171, -0.069, 0
0.055, 0.259, 0.32, -0.469, 0.0, 0
0.2, 1.367, 1.592, -0.523, -0.196, 0
0.471, 1.279, 2.076, -0.579, -0.378, 0
1.118, 2.528, -0.347, -0.151, 0.189, 0
0.126, 0.814, 1.292, 1.692, 0.0, 0
0.539, 2.612, 0.964, 0.511, -0.192, 0
1.654, 1.518, 0.68, 0.716, 0.826, 0
0.127, 0.455, 1.162, 2.31, 0.0, 0
1.21, 2.364, -0.326, -0.155, 0.235, 0
0.21, 0.847, 1.963, -0.94, -0.732, 0
-0.147, 1.023, 1.96, 0.901, 0.0, 0
-0.239, -0.788, -0.517, -0.287, -0.152, 0
1.797, 2.261, -0.505, 0.23, 0.21, 0
0.245, 1.677, 1.511, 0.508, 0.0, 0
