@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5178, 13.2104, 3.3899, 1.33, 72.7612, 0.5899, 8.5934, 0.0, 0.0, negative
1.5176, 13.4831, 3.7402, 1.1695, 72.9908, 0.5899, 8.0339, 0.0, 0.0, negative
1.5174, 13.2969, 3.601, 1.1406, 73.0916, 0.5775, 8.1738, 0.0, 0.0, negative
1.5157, 12.7183, 3.4618, 1.5612, 73.198, 0.6707, 8.0877, 0.0, 0.1224, negative
1.5172, 12.8713, 3.4798, 1.33, 73.0412, 0.5589, 8.432, 0.0, 0.0, negative
1.5191, 13.8887, 3.5291, 1.3204, 71.8092, 0.5092, 8.7764, 0.1103, 0.0, negative
1.5187, 13.1905, 3.372, 1.1792, 72.722, 0.5713, 8.8302, 0.0, 0.0816, negative
1.5217, 13.5097, 3.8614, 0.8806, 71.7924, 0.2298, 9.5403, 0.0, 0.0561, negative
1.5176, 12.9977, 3.601, 1.3589, 72.9908, 0.5713, 8.3998, 0.0, 0.0561, negative
1.5176, 12.8115, 3.5381, 1.2305, 73.2372, 0.5775, 8.389, 0.0, 0.0, negative
1.5178, 13.7745, 3.4887, 1.2787, 72.862, 0.6024, 8.4858, 0.0, 0.0, negative
1.5179, 12.7317, 3.4304, 1.1888, 72.9516, 0.621, 8.7548, 0.0, 0.153, negative
1.5232, 13.7225, 3.7222, 0.5115, 71.7476, 0.0869, 10.568, 0.0, 0.0816, negative
1.523, 13.3102, 3.5785, 0.8196, 71.9884, 0.118, 10.1752, 0.0, 0.0153, negative
1.521, 13.6427, 4.49, 1.0989, 71.7812, 0.0621, 8.7548, 0.0, 0.0, negative
1.5221, 14.208, 3.821, 0.4698, 71.77, 0.1118, 9.5726, 0.0, 0.0, negative
1.5267, 13.9885, 3.6998, 0.7105, 71.5684, 0.0186, 9.8201, 0.0, 0.051, negative
1.5193, 13.1972, 3.3316, 1.2787, 72.358, 0.6024, 9.1422, 0.0, 0.0561, negative
1.5217, 13.4831, 3.7402, 0.8999, 72.0108, 0.1801, 9.6049, 0.0, 0.0357, negative
1.5162, 13.5297, 3.5516, 1.5387, 72.9908, 0.3912, 7.7757, 0.0, 0.0, negative
1.5177, 12.5587, 3.5202, 1.4296, 73.1476, 0.5713, 8.5396, 0.0, 0.0, negative
1.518, 12.7383, 3.4798, 1.3493, 72.9572, 0.6396, 8.6795, 0.0, 0.0, negative
1.5181, 13.4299, 2.8691, 1.1888, 72.8396, 0.5527, 9.0346, 0.0, 0.0, negative
1.5215, 13.1174, 3.5785, 0.8999, 72.2012, 0.2298, 9.8201, 0.0, 0.0816, negative
1.5174, 13.2703, 3.6189, 1.2402, 73.0804, 0.5527, 8.0662, 0.0, 0.0, negative
1.5175, 12.858, 3.5606, 1.2691, 73.2092, 0.5403, 8.3782, 0.0, 0.0867, negative
1.5177, 12.6518, 3.5606, 1.3012, 73.0804, 0.6086, 8.6903, 0.0, 0.0714, negative
1.5176, 12.7117, 3.4214, 1.1984, 73.198, 0.5899, 8.6365, 0.0, 0.0, negative
1.5177, 12.4523, 2.712, 1.2915, 73.702, 0.5589, 9.0561, 0.0, 0.1224, negative
1.5177, 13.2104, 3.6908, 1.2915, 72.61, 0.5713, 8.2168, 0.0, 0.0, negative
1.5157, 13.2903, 3.4483, 1.2113, 72.7388, 0.5589, 8.5719, 0.0, 0.0, negative
1.5223, 14.168, 3.812, 0.7811, 71.35, 0.0, 9.691, 0.0, 0.0, negative
1.5197, 14.7732, 3.7492, 0.29, 72.022, 0.0311, 9.0023, 0.0, 0.0, negative
1.5178, 13.2104, 2.8107, 1.2915, 72.9796, 0.5092, 9.0238, 0.0, 0.459, negative
1.522, 14.3609, 3.8479, 0.8903, 71.3612, 0.149, 9.153, 0.0, 0.0, negative
1.5166, 12.9312, 3.5381, 1.6189, 72.9572, 0.6396, 8.0339, 0.0, 0.1071, negative
1.5171, 12.9977, 3.4708, 1.7891, 72.722, 0.6583, 8.1846, 0.0, 0.0, negative
1.5169, 12.6718, 2.8781, 1.7088, 73.2092, 0.7328, 8.5396, 0.0, 0.0, negative
1.5266, 11.2287, 0.0, 0.7715, 73.2092, 0.0, 14.6836, 0.0, 0.0, negative
1.5181, 12.9578, 2.9589, 1.4296, 72.918, 0.6024, 8.7871, 0.1386, 0.0, negative
1.5273, 13.8023, 3.152, 0.6592, 70.5716, 0.0807, 11.6385, 0.0, 0.0, negative
1.5189, 13.4632, 3.83, 1.2594, 72.5484, 0.5713, 8.2061, 0.0, 0.0714, negative
1.5187, 12.9312, 3.6593, 1.5612, 72.5092, 0.5775, 8.5504, 0.0, 0.0612, negative
1.5163, 12.9977, 3.5785, 1.5387, 72.8284, 0.6086, 8.0447, 0.0, 0.0, negative
1.5162, 13.0109, 3.5022, 1.4809, 72.89, 0.6024, 8.12, 0.0, 0.0, negative
1.516, 12.8979, 3.4393, 1.4488, 73.58, 0.4409, 8.2706, 0.0, 0.0, negative
1.5171, 13.7225, 3.6818, 1.8115, 72.0612, 0.6396, 7.8833, 0.0, 0.0, negative
1.5167, 12.9378, 3.61, 1.2594, 72.75, 0.5589, 8.6042, 0.0, 0.0, negative
1.5261, 13.7026, 0.0, 1.3589, 71.238, 0.1925, 13.4354, 0.0, 0.051, negative
1.5169, 13.3301, 3.5381, 1.6093, 72.5428, 0.6831, 8.1092, 0.0, 0.0, negative
1.5165, 13.4432, 3.61, 1.5387, 72.3916, 0.6583, 8.0339, 0.0, 0.0, negative
1.5159, 13.2503, 3.4483, 1.4296, 73.17, 0.6086, 7.8618, 0.0, 0.0, negative
1.5247, 11.4482, 0.0, 1.8789, 72.19, 0.8073, 13.2418, 0.0, 0.1734, negative
1.5183, 13.237, 3.9018, 1.4103, 72.33, 0.5527, 8.3137, 0.0, 0.051, negative
1.5179, 13.1905, 3.9018, 1.3012, 72.33, 0.5527, 8.4428, 0.0, 0.1428, negative
1.5184, 12.8514, 3.6683, 1.2402, 72.5708, 0.621, 8.6795, 0.0, 0.1785, negative
1.5159, 13.0907, 3.592, 1.5194, 73.0972, 0.6707, 7.8295, 0.0, 0.0, negative
1.5159, 13.0907, 3.5202, 1.5515, 72.8676, 0.6831, 8.0447, 0.0, 0.459, negative
1.5159, 13.1174, 3.4079, 1.5804, 73.2596, 0.0683, 8.389, 0.0, 0.0969, negative
1.5185, 13.0974, 3.9692, 1.1888, 72.442, 0.6024, 8.432, 0.0, 0.0, negative
1.5171, 12.8912, 3.6189, 1.5708, 72.9572, 0.6086, 8.1092, 0.0, 0.0, negative
1.5161, 13.922, 3.5202, 1.2498, 72.8788, 0.3726, 7.9371, 0.0, 0.0714, negative
1.5184, 13.0176, 3.6189, 1.0604, 72.3412, 0.6396, 9.1314, 0.0, 0.0765, negative
1.5241, 13.8289, 2.9005, 1.1695, 71.1484, 0.0807, 10.7885, 0.0, 0.0, negative
1.5165, 13.5629, 3.5696, 1.4713, 72.4476, 0.6396, 7.9586, 0.0, 0.0, negative
1.5184, 13.2503, 3.7581, 1.3204, 72.4028, 0.5775, 8.4213, 0.0, 0.0, negative
1.5181, 13.4299, 3.9781, 1.1792, 72.4924, 0.5775, 8.1523, 0.0, 0.0, negative
1.5163, 13.3368, 3.5696, 1.5708, 72.8676, 0.6086, 7.894, 0.0, 0.0, negative
1.5274, 11.0226, 0.0, 0.749, 73.0804, 0.0, 14.9634, 0.0, 0.0, negative
1.5169, 13.2304, 3.5381, 1.4809, 72.8396, 0.5589, 8.0985, 0.0, 0.0, negative
1.5181, 13.3301, 3.8479, 1.2498, 72.778, 0.5216, 8.12, 0.0, 0.0, negative
1.5166, 12.8514, 3.5112, 1.4392, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, negative
1.5157, 14.8597, 3.6683, 1.7409, 71.8708, 0.1615, 7.356, 0.0, 0.0612, negative
1.5163, 13.3567, 3.5785, 1.4905, 72.722, 0.4471, 8.2061, 0.0, 0.0, negative
1.5171, 13.4831, 3.4798, 1.7088, 72.5204, 0.621, 7.9909, 0.0, 0.0, negative
1.5181, 12.9977, 3.7985, 1.0797, 73.0692, 0.5589, 8.3782, 0.0, 0.0612, negative
1.5159, 13.0176, 3.5785, 1.5098, 73.1196, 0.6893, 7.9586, 0.0, 0.0, negative
1.5157, 13.237, 3.4887, 1.4713, 73.2484, 0.3788, 8.0339, 0.0, 0.0, negative
1.5184, 12.9312, 3.7402, 1.1085, 72.2796, 0.6396, 8.9593, 0.0, 0.1122, negative
1.5339, 12.2994, 0.0, 0.9994, 70.1628, 0.118, 16.19, 0.0, 0.1224, negative
1.5278, 12.6386, 0.0, 0.6688, 72.022, 0.0621, 14.4038, 0.0, 0.0, negative
1.518, 13.7092, 3.9287, 1.5387, 71.8092, 0.5403, 8.2061, 0.0, 0.0765, negative
1.5159, 12.8181, 3.5202, 1.9014, 72.862, 0.6893, 7.9694, 0.0, 0.0, negative
1.5159, 13.237, 3.3406, 1.4713, 73.0972, 0.3912, 8.2168, 0.0, 0.0, negative
1.5218, 13.1972, 3.6818, 1.1503, 72.75, 0.5403, 8.5181, 0.0, 0.0, negative
1.5167, 12.8713, 3.5606, 1.6414, 73.142, 0.6521, 7.9909, 0.0, 0.0, negative
1.5141, 14.2478, 3.0891, 2.0812, 72.2796, 1.0992, 7.0763, 0.0, 0.0, negative
1.5185, 13.41, 3.8883, 1.33, 72.3804, 0.5092, 8.2814, 0.0, 0.0, negative
1.5167, 12.7915, 3.5202, 1.5387, 73.3604, 0.6583, 7.9048, 0.0, 0.0, negative
1.5166, 12.991, 3.1789, 1.2305, 72.9684, 0.5775, 8.8086, 0.0, 0.1224, negative
1.5178, 13.5297, 3.4079, 1.5194, 72.0388, 0.5775, 8.7871, 0.0, 0.0, negative
1.5212, 14.0284, 3.7581, 0.5789, 71.7924, 0.1118, 9.6479, 0.0, 0.0, negative
1.5165, 13.0375, 3.3989, 1.2594, 73.0076, 0.5216, 8.5827, 0.0, 0.0, negative
1.5221, 14.188, 3.7806, 0.9095, 71.3612, 0.2298, 9.1422, 0.0, 0.1887, negative
1.5169, 12.858, 3.5785, 1.3108, 72.61, 0.6086, 8.7871, 0.0, 0.0, negative
1.5178, 13.6427, 3.6504, 0.6495, 73.002, 0.0621, 8.927, 0.0, 0.0, negative
1.5161, 13.4232, 3.3989, 1.2209, 72.6884, 0.5899, 8.3244, 0.0, 0.0, negative
1.5194, 13.6427, 3.5381, 0.749, 72.6492, 0.1615, 8.8947, 0.1512, 0.1224, negative
1.5177, 13.6494, 3.6593, 1.1085, 72.7724, 0.1118, 8.6042, 0.0, 0.0, negative
1.5183, 13.3301, 3.3406, 1.5387, 72.1396, 0.5589, 8.9916, 0.0, 0.0, negative
1.5167, 13.237, 3.5696, 1.3814, 72.6996, 0.5589, 8.4428, 0.0, 0.051, negative
1.5165, 13.41, 3.3899, 1.2787, 72.638, 0.5216, 8.6472, 0.0, 0.0, negative
1.5213, 14.321, 3.9018, 0.8293, 71.5012, 0.0, 9.4865, 0.0, 0.0, negative
1.5164, 12.1598, 3.5202, 1.3493, 72.89, 0.5713, 8.5289, 0.0, 0.0, negative
1.5151, 14.0084, 2.6805, 3.5, 69.8884, 1.6829, 5.8712, 2.1987, 0.0, negative
1.5215, 11.0292, 1.7107, 1.5612, 73.4388, 0.5775, 11.617, 0.0, 0.0, negative
1.5132, 12.9977, 0.0, 3.0185, 70.7004, 6.21, 6.9256, 0.0, 0.0, negative
1.5217, 11.5612, 1.8813, 1.5612, 72.862, 0.472, 11.4126, 0.0, 0.0, negative
1.5151, 15.1523, 0.0, 2.2513, 73.5004, 0.0, 8.3352, 0.63, 0.0, negative
1.5225, 14.8597, 2.2001, 2.0587, 70.258, 0.7576, 9.7555, 0.0, 0.0, negative
1.5165, 11.9469, 0.0, 1.1888, 75.1804, 2.7014, 8.927, 0.0, 0.0, negative
1.5206, 14.3609, 0.0, 2.0202, 73.422, 0.0, 8.4428, 1.6412, 0.0, negative
1.5113, 13.6892, 3.2014, 1.8115, 72.8116, 1.7574, 5.43, 1.1907, 0.0, negative
1.5156, 13.8688, 0.0, 2.5402, 73.2316, 0.1428, 9.4112, 0.8095, 0.0051, negative
1.5164, 14.3675, 0.0, 2.7392, 72.8508, 0.0, 9.4542, 0.5386, 0.0, negative
1.5232, 13.4432, 3.3406, 1.2305, 72.3804, 0.6024, 8.8302, 0.0, 0.0, negative
1.5168, 14.5604, 0.0, 1.9785, 73.2876, 0.0, 8.5181, 1.5687, 0.0357, negative
1.5165, 14.9395, 0.0, 1.8693, 73.1084, 0.0, 8.6688, 1.3797, 0.0, negative
1.5172, 14.7532, 0.0, 2.0009, 73.0188, 0.0, 8.5289, 1.5908, 0.0408, negative
1.5162, 14.9527, 0.0, 2.2706, 73.2988, 0.0, 8.7118, 0.671, 0.0, negative
1.5171, 14.2279, 0.0, 2.0812, 73.3604, 0.0, 8.615, 1.6695, 0.0, negative
1.5151, 14.853, 0.0, 2.4214, 73.7188, 0.0, 8.389, 0.5607, 0.0, negative
1.5168, 14.9195, 0.0, 1.9913, 73.58, 0.0, 8.3998, 1.5908, 0.0, negative
1.5162, 14.2013, 0.0, 2.7906, 73.4612, 0.0373, 9.0454, 0.4001, 0.459, negative
1.5153, 14.3809, 0.0, 2.659, 73.0972, 0.0373, 9.0776, 0.6394, 0.0, negative
1.5161, 15.126, 0.0, 2.5113, 73.0524, 0.0497, 8.8302, 0.5292, 0.0, negative
1.5183, 14.3875, 0.0, 1.8212, 72.862, 1.4097, 6.4737, 2.8791, 0.0, negative
1.516, 14.853, 0.0, 2.3797, 73.282, 0.0, 8.7548, 0.6394, 0.459, negative
1.5173, 14.7, 0.0, 2.3412, 73.282, 0.0, 8.9485, 0.6615, 0.0, negative
1.5162, 14.1415, 0.0, 2.8805, 72.61, 0.0807, 9.1852, 1.0615, 0.0, negative
1.5184, 14.321, 3.2597, 2.2192, 71.2492, 1.4593, 5.7851, 1.6285, 0.0, negative
1.5166, 14.7998, 0.0, 1.9913, 73.1084, 0.0, 8.2814, 1.7105, 0.0, negative
1.5173, 14.9527, 0.0, 1.7987, 72.9908, 0.0, 8.615, 1.5498, 0.0, negative
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5191, 14.0018, 2.3887, 1.5612, 72.3692, 0.0, 9.5726, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5197, 14.5311, 0.1253, 0.6122, 73.4198, 0.0, 11.1325, 0.0, 0.0, positive
1.519, 14.5945, 0.4129, 1.9059, 72.6115, 0.0, 10.3906, 0.0, 0.0, positive
1.5116, 16.7061, 0.3941, 0.6122, 75.2149, 0.0, 6.8601, 0.0, 0.0, positive
1.5189, 14.8066, 1.083, 1.7072, 72.4738, 0.0, 9.8785, 0.0, 0.0, positive
1.5123, 16.8848, 0.3325, 0.4582, 75.0447, 0.0, 7.0762, 0.0, 0.0, positive
1.5135, 14.3789, 1.591, 1.5866, 74.3907, 0.0, 7.8784, 0.0, 0.0, positive
1.519, 14.5704, 1.4663, 1.6643, 72.4431, 0.0, 9.7887, 0.0, 0.0, positive
1.5192, 13.9366, 2.3956, 1.4471, 72.4893, 0.0, 9.6319, 0.0, 0.0, positive
1.5191, 14.0767, 1.1663, 1.8322, 72.5583, 0.0, 10.2444, 0.0, 0.0, positive
1.5163, 14.0816, 2.0912, 1.3561, 73.6156, 0.0, 8.7268, 0.0, 0.0, positive
1.5138, 16.2267, 0.8155, 0.7578, 74.3719, 0.0, 7.645, 0.0, 0.0, positive
1.5189, 13.835, 2.3608, 1.2151, 72.8957, 0.0, 9.6027, 0.0, 0.0, positive
1.5196, 14.5111, 0.2108, 0.648, 73.3802, 0.0, 11.0736, 0.0, 0.0, positive
1.5148, 14.327, 1.2333, 1.7, 74.0193, 0.0, 8.5545, 0.0, 0.0, positive
1.5114, 17.0022, 0.2209, 0.4932, 75.3006, 0.0, 6.766, 0.0, 0.0, positive
1.5195, 14.2124, 1.0876, 0.8434, 73.1547, 0.0, 10.5636, 0.0, 0.0, positive
1.5197, 14.5444, 0.0685, 0.5883, 73.4462, 0.0, 11.1717, 0.0, 0.0, positive
1.5173, 14.7729, 1.8435, 1.2827, 73.0633, 0.0, 8.9046, 0.0, 0.0, positive
1.516, 14.4713, 0.9723, 1.1061, 74.075, 0.0, 9.195, 0.0, 0.0, positive
1.5173, 15.3591, 0.0, 0.4978, 74.0253, 0.0, 9.9235, 0.0, 0.0, positive
1.519, 14.3797, 1.7756, 1.6297, 72.4183, 0.0, 9.7162, 0.0, 0.0, positive
1.5195, 14.187, 1.1671, 0.8642, 73.131, 0.0, 10.5157, 0.0, 0.0, positive
1.5166, 15.0521, 1.646, 1.1819, 73.3146, 0.0, 8.6627, 0.0, 0.0, positive
1.518, 14.9025, 0.9276, 1.7101, 72.8103, 0.0, 9.5902, 0.0, 0.0, positive
1.5152, 14.1863, 1.9766, 1.416, 73.9214, 0.0, 8.3547, 0.0, 0.0, positive
1.5142, 14.3245, 1.8658, 1.543, 74.131, 0.0, 7.9714, 0.0, 0.0, positive
1.5191, 14.0465, 1.6582, 1.7231, 72.4822, 0.0, 9.974, 0.0, 0.0, positive
1.5192, 14.1025, 1.9867, 1.3326, 72.6927, 0.0, 9.8139, 0.0, 0.0, positive
1.5194, 14.3165, 0.0, 1.4653, 73.0408, 0.0, 11.0216, 0.0, 0.0, positive
1.5192, 14.1732, 0.0232, 2.0804, 72.7317, 0.0, 10.8576, 0.0, 0.0, positive
1.519, 14.2985, 1.9074, 1.615, 72.4078, 0.0, 9.6854, 0.0, 0.0, positive
1.5122, 16.9158, 0.3117, 0.4509, 75.0676, 0.0, 7.0492, 0.0, 0.0, positive
1.5133, 14.3811, 1.774, 1.5398, 74.4402, 0.0, 7.6903, 0.0, 0.0, positive
1.5165, 14.1717, 2.1133, 1.5516, 73.2969, 0.0, 8.7294, 0.0, 0.0, positive
1.5194, 14.3081, 0.0, 1.4968, 73.0256, 0.0, 11.0147, 0.0, 0.0, positive
1.5191, 14.0005, 2.3888, 1.5589, 72.3716, 0.0, 9.5738, 0.0, 0.0, positive
1.5194, 14.2943, 0.0, 1.548, 73.0009, 0.0, 11.0036, 0.0, 0.0, positive
1.5114, 17.3038, 0.0, 0.3473, 75.3578, 0.0, 6.7695, 0.0, 0.0, positive
1.5195, 14.0277, 1.6649, 0.9941, 72.983, 0.0, 10.2159, 0.0, 0.0, positive
1.5117, 17.2017, 0.0, 0.3552, 75.2878, 0.0, 6.9351, 0.0, 0.0, positive
1.5194, 14.3075, 0.0, 1.4988, 73.0246, 0.0, 11.0143, 0.0, 0.0, positive
1.5191, 13.9573, 2.3934, 1.4834, 72.4511, 0.0, 9.6131, 0.0, 0.0, positive
1.5192, 14.1296, 0.3015, 2.0239, 72.6921, 0.0, 10.7196, 0.0, 0.0, positive
1.5151, 14.4512, 1.192, 1.2295, 74.2099, 0.0, 8.7378, 0.0, 0.0, positive
1.5194, 13.878, 2.1328, 1.1162, 72.8439, 0.0, 9.9339, 0.0, 0.0, positive
1.5116, 16.5884, 0.4629, 0.6595, 75.1808, 0.0, 6.8975, 0.0, 0.0, positive
1.5193, 13.9318, 2.2178, 1.2543, 72.73, 0.0, 9.788, 0.0, 0.0, positive
1.5169, 15.6046, 0.581, 1.3822, 73.2445, 0.0, 9.1024, 0.0, 0.0, positive
1.5192, 14.1652, 0.0, 2.0272, 72.7695, 0.0, 10.8992, 0.0, 0.0, positive
1.5191, 14.0188, 2.1112, 1.6227, 72.4121, 0.0, 9.7251, 0.0, 0.0, positive
1.5129, 16.6297, 0.5305, 0.6123, 74.7346, 0.0, 7.2959, 0.0, 0.0, positive
1.5155, 14.2979, 1.033, 1.7634, 73.8114, 0.0, 8.933, 0.0, 0.0, positive
1.5187, 14.8989, 0.0, 0.5334, 73.7099, 0.0, 10.6699, 0.0, 0.0, positive
1.5173, 14.7606, 1.8521, 1.2872, 73.0523, 0.0, 8.9152, 0.0, 0.0, positive
1.5185, 14.1743, 0.1805, 2.0336, 72.9262, 0.0, 10.5442, 0.0, 0.0, positive
1.5132, 14.3922, 1.6829, 1.5574, 74.4862, 0.0, 7.7046, 0.0, 0.0, positive
1.515, 15.7268, 1.169, 0.9383, 73.9219, 0.0, 8.0781, 0.0, 0.0, positive
1.5169, 14.1462, 2.1547, 1.553, 73.1576, 0.0, 8.856, 0.0, 0.0, positive
1.5196, 14.35, 0.6576, 0.7312, 73.2825, 0.0, 10.8227, 0.0, 0.0, positive
1.519, 14.5047, 0.3299, 1.9431, 72.6371, 0.0, 10.4901, 0.0, 0.0, positive
1.5134, 14.3851, 1.6336, 1.5731, 74.435, 0.0, 7.7978, 0.0, 0.0, positive
1.5191, 14.8572, 0.5364, 1.3706, 72.8052, 0.0, 10.3472, 0.0, 0.0, positive
1.5187, 14.1661, 0.1241, 2.0515, 72.8677, 0.0, 10.6507, 0.0, 0.0, positive
1.5182, 14.9205, 0.8984, 1.7163, 72.7479, 0.0, 9.6619, 0.0, 0.0, positive
1.5188, 15.0216, 0.7718, 1.724, 72.5333, 0.0, 9.9092, 0.0, 0.0, positive
1.5164, 14.1746, 2.1087, 1.5514, 73.3124, 0.0, 8.7153, 0.0, 0.0, positive
1.5125, 15.2775, 1.2294, 1.1863, 74.8014, 0.0, 7.3141, 0.0, 0.0, positive
1.5195, 14.1612, 1.2478, 0.8852, 73.107, 0.0, 10.4671, 0.0, 0.0, positive
1.5154, 14.3042, 1.0761, 1.7498, 73.8561, 0.0, 8.8515, 0.0, 0.0, positive
1.5192, 14.3089, 1.7072, 1.4273, 72.6475, 0.0, 9.8453, 0.0, 0.0, positive
1.5192, 14.19, 1.8681, 1.3727, 72.6735, 0.0, 9.8272, 0.0, 0.0, positive
1.5157, 14.2199, 2.0353, 1.5489, 73.5598, 0.0, 8.4905, 0.0, 0.0, positive
1.5192, 13.8761, 2.3527, 1.1683, 72.8254, 0.0, 9.6906, 0.0, 0.0, positive
1.5193, 13.8238, 2.4075, 1.2496, 72.6972, 0.0, 9.7346, 0.0, 0.0, positive
1.5196, 14.3564, 0.6376, 0.726, 73.2884, 0.0, 10.8347, 0.0, 0.0, positive
1.5143, 14.2791, 1.8752, 1.4691, 74.1922, 0.0, 8.0252, 0.0, 0.0, positive
1.5139, 14.3653, 1.4977, 1.6161, 74.2938, 0.0, 8.0547, 0.0, 0.0, positive
1.515, 14.2119, 1.9487, 1.4307, 73.996, 0.0, 8.2639, 0.0, 0.0, positive
1.5155, 14.2371, 2.0075, 1.5479, 73.6536, 0.0, 8.4052, 0.0, 0.0, positive
1.5191, 14.0828, 1.0656, 1.8545, 72.5739, 0.0, 10.2997, 0.0, 0.0, positive
1.5166, 14.1635, 2.1266, 1.5521, 73.2522, 0.0, 8.7701, 0.0, 0.0, positive
1.5192, 13.885, 2.401, 1.3567, 72.5844, 0.0, 9.6789, 0.0, 0.0, positive
1.5192, 14.0837, 0.4325, 1.929, 72.7428, 0.0, 10.6846, 0.0, 0.0, positive
1.5195, 14.0748, 1.5179, 0.9557, 73.0267, 0.0, 10.3044, 0.0, 0.0, positive
1.5188, 15.029, 0.7694, 1.7196, 72.5423, 0.0, 9.8989, 0.0, 0.0, positive
1.5166, 15.5675, 0.0, 0.4817, 74.1681, 0.0, 9.5855, 0.0, 0.0, positive
1.5156, 14.2946, 1.01, 1.7707, 73.7875, 0.0, 8.9764, 0.0, 0.0, positive
1.5172, 14.7539, 1.7633, 0.9611, 73.4729, 0.0, 8.9278, 0.0, 0.0, positive
1.5171, 14.2346, 0.596, 1.9019, 73.3577, 0.0, 9.7588, 0.0, 0.0, positive
1.5192, 14.1179, 1.9658, 1.3397, 72.6893, 0.0, 9.8163, 0.0, 0.0, positive
1.5193, 13.8872, 1.752, 1.4354, 72.7551, 0.0, 10.0722, 0.0, 0.0, positive
1.519, 14.0037, 2.3856, 1.5611, 72.3795, 0.0, 9.5632, 0.0, 0.0, positive
1.519, 14.2378, 2.0058, 1.604, 72.3999, 0.0, 9.6623, 0.0, 0.0, positive
1.5193, 14.2262, 1.4292, 1.1589, 72.8146, 0.0, 10.2339, 0.0, 0.0, positive
1.5194, 14.3352, 0.9631, 0.9634, 73.0309, 0.0, 10.5551, 0.0, 0.0, positive
1.5195, 14.4427, 0.0, 0.9967, 73.267, 0.0, 11.1237, 0.0, 0.0, positive
