@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.5177, 12.5587, 3.5202, 1.4296, 73.1476, 0.5713, 8.5396, 0.0, 0.0, negative
1.5181, 13.4299, 2.8691, 1.1888, 72.8396, 0.5527, 9.0346, 0.0, 0.0, negative
1.5215, 13.1174, 3.5785, 0.8999, 72.2012, 0.2298, 9.8201, 0.0, 0.0816, negative
1.5175, 12.858, 3.5606, 1.2691, 73.2092, 0.5403, 8.3782, 0.0, 0.0867, negative
1.5174, 12.7782, 3.6189, 1.2915, 72.7892, 0.5899, 8.701, 0.0, 0.0, negative
1.5177, 12.6518, 3.5606, 1.3012, 73.0804, 0.6086, 8.6903, 0.0, 0.0714, negative
1.5176, 12.7117, 3.4214, 1.1984, 73.198, 0.5899, 8.6365, 0.0, 0.0, negative
1.5177, 12.4523, 2.712, 1.2915, 73.702, 0.5589, 9.0561, 0.0, 0.1224, negative
1.5191, 13.6028, 3.6189, 1.1085, 72.638, 0.1428, 8.7548, 0.0, 0.0, negative
1.5177, 13.2104, 3.6908, 1.2915, 72.61, 0.5713, 8.2168, 0.0, 0.0, negative
1.5157, 13.2903, 3.4483, 1.2113, 72.7388, 0.5589, 8.5719, 0.0, 0.0, negative
1.5223, 14.168, 3.812, 0.7811, 71.35, 0.0, 9.691, 0.0, 0.0, negative
1.5197, 14.7732, 3.7492, 0.29, 72.022, 0.0311, 9.0023, 0.0, 0.0, negative
1.522, 14.3609, 3.8479, 0.8903, 71.3612, 0.149, 9.153, 0.0, 0.0, negative
1.519, 13.4898, 3.4798, 1.3493, 71.9492, 0.5527, 9.0023, 0.0, 0.0, negative
1.5185, 13.6427, 3.8704, 1.2691, 71.9604, 0.5403, 8.3244, 0.0, 0.1632, negative
1.5166, 12.9312, 3.5381, 1.6189, 72.9572, 0.6396, 8.0339, 0.0, 0.1071, negative
1.5171, 12.9977, 3.4708, 1.7891, 72.722, 0.6583, 8.1846, 0.0, 0.0, negative
1.5169, 12.6718, 2.8781, 1.7088, 73.2092, 0.7328, 8.5396, 0.0, 0.0, negative
1.5266, 11.2287, 0.0, 0.7715, 73.2092, 0.0, 14.6836, 0.0, 0.0, negative
1.5185, 13.1972, 3.6279, 1.07, 72.8284, 0.5713, 8.4105, 0.0914, 0.0867, negative
1.5165, 13.41, 3.5516, 1.2498, 72.8116, 0.6831, 8.0985, 0.0, 0.0, negative
1.5163, 12.7117, 3.3316, 1.4905, 73.282, 0.6707, 8.2384, 0.0, 0.0, negative
1.5273, 13.8023, 3.152, 0.6592, 70.5716, 0.0807, 11.6385, 0.0, 0.0, negative
1.5187, 12.9312, 3.6593, 1.5612, 72.5092, 0.5775, 8.5504, 0.0, 0.0612, negative
1.5163, 12.9977, 3.5785, 1.5387, 72.8284, 0.6086, 8.0447, 0.0, 0.0, negative
1.5162, 13.0109, 3.5022, 1.4809, 72.89, 0.6024, 8.12, 0.0, 0.0, negative
1.516, 12.8979, 3.4393, 1.4488, 73.58, 0.4409, 8.2706, 0.0, 0.0, negative
1.5171, 13.7225, 3.6818, 1.8115, 72.0612, 0.6396, 7.8833, 0.0, 0.0, negative
1.5261, 13.7026, 0.0, 1.3589, 71.238, 0.1925, 13.4354, 0.0, 0.051, negative
1.5169, 13.3301, 3.5381, 1.6093, 72.5428, 0.6831, 8.1092, 0.0, 0.0, negative
1.5159, 13.2503, 3.4483, 1.4296, 73.17, 0.6086, 7.8618, 0.0, 0.0, negative
1.5174, 12.1997, 3.2508, 1.1599, 73.5508, 0.621, 8.8947, 0.0, 0.1224, negative
1.5247, 11.4482, 0.0, 1.8789, 72.19, 0.8073, 13.2418, 0.0, 0.1734, negative
1.5179, 13.1905, 3.9018, 1.3012, 72.33, 0.5527, 8.4428, 0.0, 0.1428, negative
1.5184, 12.8514, 3.6683, 1.2402, 72.5708, 0.621, 8.6795, 0.0, 0.1785, negative
1.5159, 13.0907, 3.592, 1.5194, 73.0972, 0.6707, 7.8295, 0.0, 0.0, negative
1.5159, 13.0907, 3.5202, 1.5515, 72.8676, 0.6831, 8.0447, 0.0, 0.459, negative
1.5159, 13.1174, 3.4079, 1.5804, 73.2596, 0.0683, 8.389, 0.0, 0.0969, negative
1.5182, 12.6186, 2.7614, 0.8293, 73.8084, 0.3478, 9.422, 0.0, 0.102, negative
1.5185, 13.0974, 3.9692, 1.1888, 72.442, 0.6024, 8.432, 0.0, 0.0, negative
1.5171, 12.8912, 3.6189, 1.5708, 72.9572, 0.6086, 8.1092, 0.0, 0.0, negative
1.5159, 12.858, 3.5202, 2.1197, 72.6604, 0.6893, 7.9694, 0.0, 0.0, negative
1.5184, 13.0176, 3.6189, 1.0604, 72.3412, 0.6396, 9.1314, 0.0, 0.0765, negative
1.5241, 13.8289, 2.9005, 1.1695, 71.1484, 0.0807, 10.7885, 0.0, 0.0, negative
1.5165, 13.5629, 3.5696, 1.4713, 72.4476, 0.6396, 7.9586, 0.0, 0.0, negative
1.5184, 13.2503, 3.7581, 1.3204, 72.4028, 0.5775, 8.4213, 0.0, 0.0, negative
1.5181, 13.4299, 3.9781, 1.1792, 72.4924, 0.5775, 8.1523, 0.0, 0.0, negative
1.5165, 13.4033, 3.4887, 1.5194, 72.6492, 0.6707, 8.077, 0.0, 0.051, negative
1.5274, 11.0226, 0.0, 0.749, 73.0804, 0.0, 14.9634, 0.0, 0.0, negative
1.5169, 13.2304, 3.5381, 1.4809, 72.8396, 0.5589, 8.0985, 0.0, 0.0, negative
1.5166, 12.8514, 3.5112, 1.4392, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, negative
1.5163, 13.3567, 3.5785, 1.4905, 72.722, 0.4471, 8.2061, 0.0, 0.0, negative
1.5186, 13.3567, 3.4304, 1.4296, 72.2628, 0.5092, 8.6042, 0.0, 0.0, negative
1.5173, 12.3526, 2.7209, 1.6286, 72.8676, 0.7017, 9.2283, 0.0, 0.0, negative
1.5171, 13.4831, 3.4798, 1.7088, 72.5204, 0.621, 7.9909, 0.0, 0.0, negative
1.5181, 12.9977, 3.7985, 1.0797, 73.0692, 0.5589, 8.3782, 0.0, 0.0612, negative
1.5157, 13.237, 3.4887, 1.4713, 73.2484, 0.3788, 8.0339, 0.0, 0.0, negative
1.5184, 12.9312, 3.7402, 1.1085, 72.2796, 0.6396, 8.9593, 0.0, 0.1122, negative
1.5339, 12.2994, 0.0, 0.9994, 70.1628, 0.118, 16.19, 0.0, 0.1224, negative
1.5278, 12.6386, 0.0, 0.6688, 72.022, 0.0621, 14.4038, 0.0, 0.0, negative
1.5164, 12.5521, 3.4798, 1.8693, 73.2316, 0.6272, 8.077, 0.0, 0.459, negative
1.5165, 12.7516, 2.8512, 1.4392, 73.2708, 0.5713, 8.7871, 0.1103, 0.1122, negative
1.5167, 13.2969, 3.6414, 1.5291, 72.5316, 0.6521, 8.0339, 0.0, 0.1479, negative
1.5218, 13.1972, 3.6818, 1.1503, 72.75, 0.5403, 8.5181, 0.0, 0.0, negative
1.5167, 12.8713, 3.5606, 1.6414, 73.142, 0.6521, 7.9909, 0.0, 0.0, negative
1.516, 13.0176, 3.5606, 1.5387, 73.1084, 0.7204, 7.9048, 0.0, 0.0, negative
1.5141, 14.2478, 3.0891, 2.0812, 72.2796, 1.0992, 7.0763, 0.0, 0.0, negative
1.5312, 10.73, 0.0, 2.1004, 69.81, 0.5775, 13.2956, 3.15, 0.1428, negative
1.5185, 13.41, 3.8883, 1.33, 72.3804, 0.5092, 8.2814, 0.0, 0.0, negative
1.5166, 12.991, 3.1789, 1.2305, 72.9684, 0.5775, 8.8086, 0.0, 0.1224, negative
1.5178, 13.5297, 3.4079, 1.5194, 72.0388, 0.5775, 8.7871, 0.0, 0.0, negative
1.5161, 13.3301, 3.5291, 1.3397, 72.6716, 0.5589, 8.3352, 0.0, 0.0, negative
1.5166, 13.1373, 3.4483, 1.7602, 72.4812, 0.6024, 8.3782, 0.0, 0.0867, negative
1.5212, 14.0284, 3.7581, 0.5789, 71.7924, 0.1118, 9.6479, 0.0, 0.0, negative
1.5165, 13.0375, 3.3989, 1.2594, 73.0076, 0.5216, 8.5827, 0.0, 0.0, negative
1.5221, 14.188, 3.7806, 0.9095, 71.3612, 0.2298, 9.1422, 0.0, 0.1887, negative
1.5169, 12.858, 3.5785, 1.3108, 72.61, 0.6086, 8.7871, 0.0, 0.0, negative
1.5178, 13.6427, 3.6504, 0.6495, 73.002, 0.0621, 8.927, 0.0, 0.0, negative
1.518, 13.503, 3.3585, 1.6286, 71.938, 0.5713, 8.8086, 0.0, 0.459, negative
1.5161, 13.4232, 3.3989, 1.2209, 72.6884, 0.5899, 8.3244, 0.0, 0.0, negative
1.5194, 13.6427, 3.5381, 0.749, 72.6492, 0.1615, 8.8947, 0.1512, 0.1224, negative
1.5177, 13.6494, 3.6593, 1.1085, 72.7724, 0.1118, 8.6042, 0.0, 0.0, negative
1.5183, 13.3301, 3.3406, 1.5387, 72.1396, 0.5589, 8.9916, 0.0, 0.0, negative
1.5167, 13.237, 3.5696, 1.3814, 72.6996, 0.5589, 8.4428, 0.0, 0.051, negative
1.5213, 14.321, 3.9018, 0.8293, 71.5012, 0.0, 9.4865, 0.0, 0.0, negative
1.5164, 12.1598, 3.5202, 1.3493, 72.89, 0.5713, 8.5289, 0.0, 0.0, negative
1.5197, 12.6386, 0.0, 1.651, 73.7524, 0.3788, 11.5309, 0.0, 0.0, negative
1.5191, 12.7317, 1.8499, 1.8597, 72.6884, 0.6024, 10.0891, 0.0, 0.0, negative
1.5151, 14.0084, 2.6805, 3.5, 69.8884, 1.6829, 5.8712, 2.1987, 0.0, negative
1.5132, 13.0176, 0.0, 3.041, 70.482, 6.21, 6.9579, 0.0, 0.0, negative
1.5215, 11.0292, 1.7107, 1.5612, 73.4388, 0.5775, 11.617, 0.0, 0.0, negative
1.5237, 13.4432, 0.0, 1.5804, 72.218, 0.3229, 12.2411, 0.0, 0.0, negative
1.5204, 13.3767, 0.0, 1.4007, 72.2516, 0.3291, 12.4993, 0.0, 0.0, negative
1.5206, 12.8514, 1.6119, 2.1711, 72.1788, 0.7576, 9.7017, 0.2394, 0.2601, negative
1.5217, 11.5612, 1.8813, 1.5612, 72.862, 0.472, 11.4126, 0.0, 0.0, negative
1.5151, 15.1523, 0.0, 2.2513, 73.5004, 0.0, 8.3352, 0.63, 0.0, negative
1.5165, 11.9469, 0.0, 1.1888, 75.1804, 2.7014, 8.927, 0.0, 0.0, negative
1.5206, 14.3609, 0.0, 2.0202, 73.422, 0.0, 8.4428, 1.6412, 0.0, negative
1.5156, 13.8688, 0.0, 2.5402, 73.2316, 0.1428, 9.4112, 0.8095, 0.0051, negative
1.5164, 14.3675, 0.0, 2.7392, 72.8508, 0.0, 9.4542, 0.5386, 0.0, negative
1.5155, 14.1415, 0.0, 2.6814, 73.3884, 0.0807, 9.0669, 0.6111, 0.0255, negative
1.5165, 14.3809, 0.0, 1.9399, 73.6124, 0.0, 8.4751, 1.5687, 0.0, negative
1.5168, 14.5604, 0.0, 1.9785, 73.2876, 0.0, 8.5181, 1.5687, 0.0357, negative
1.5165, 14.9395, 0.0, 1.8693, 73.1084, 0.0, 8.6688, 1.3797, 0.0, negative
1.5151, 14.853, 0.0, 2.4214, 73.7188, 0.0, 8.389, 0.5607, 0.0, negative
1.5168, 14.9195, 0.0, 1.9913, 73.58, 0.0, 8.3998, 1.5908, 0.0, negative
1.5162, 14.2013, 0.0, 2.7906, 73.4612, 0.0373, 9.0454, 0.4001, 0.459, negative
1.5153, 14.3809, 0.0, 2.659, 73.0972, 0.0373, 9.0776, 0.6394, 0.0, negative
1.5161, 15.126, 0.0, 2.5113, 73.0524, 0.0497, 8.8302, 0.5292, 0.0, negative
1.5173, 14.7, 0.0, 2.3412, 73.282, 0.0, 8.9485, 0.6615, 0.0, negative
1.5184, 14.321, 3.2597, 2.2192, 71.2492, 1.4593, 5.7851, 1.6285, 0.0, negative
1.5166, 14.7998, 0.0, 1.9913, 73.1084, 0.0, 8.2814, 1.7105, 0.0, negative
1.5173, 14.9527, 0.0, 1.7987, 72.9908, 0.0, 8.615, 1.5498, 0.0, negative
1.5197, 14.5604, 0.0, 0.5596, 73.478, 0.0, 11.2189, 0.0, 0.0, positive
1.5111, 17.38, 0.0, 0.3414, 75.41, 0.0, 6.6459, 0.0, 0.0, positive
1.5194, 13.789, 2.4111, 1.1888, 72.7612, 0.0, 9.7663, 0.0, 0.0, positive
1.5183, 14.4606, 2.2405, 1.6189, 72.3804, 0.0, 9.2606, 0.0, 0.0, positive
1.5185, 14.0883, 2.1911, 1.6607, 72.6716, 0.0, 9.3251, 0.0, 0.0, positive
1.513, 14.4008, 1.7421, 1.5387, 74.5476, 0.0, 7.5928, 0.0, 0.0, positive
1.5189, 14.9926, 0.7813, 1.7409, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.5192, 14.1481, 0.0, 2.0908, 72.7388, 0.0, 10.8853, 0.0, 0.0, positive
1.5192, 14.3631, 0.9154, 1.0196, 73.1411, 0.0, 10.4277, 0.0, 0.0, positive
1.5184, 14.2195, 2.2085, 1.646, 72.569, 0.0, 9.3024, 0.0, 0.0, positive
1.5124, 15.3551, 1.1841, 1.1552, 74.8238, 0.0, 7.2895, 0.0, 0.0, positive
1.5147, 14.4203, 1.9046, 1.5649, 73.8409, 0.0, 8.1366, 0.0, 0.0, positive
1.5126, 16.733, 0.4306, 0.6007, 74.8718, 0.0, 7.1725, 0.0, 0.0, positive
1.5187, 14.3165, 1.2071, 1.8366, 72.5457, 0.0, 10.01, 0.0, 0.0, positive
1.5187, 14.0436, 2.224, 1.5902, 72.685, 0.0, 9.391, 0.0, 0.0, positive
1.5188, 14.0045, 2.2527, 1.5286, 72.6967, 0.0, 9.4486, 0.0, 0.0, positive
1.5167, 14.0432, 2.1331, 1.3342, 73.5036, 0.0, 8.863, 0.0, 0.0, positive
1.5193, 13.9433, 1.3754, 1.5763, 72.7516, 0.0, 10.247, 0.0, 0.0, positive
1.5116, 17.247, 0.0, 0.3517, 75.3189, 0.0, 6.8615, 0.0, 0.0, positive
1.5184, 14.2565, 2.2134, 1.6418, 72.5401, 0.0, 9.296, 0.0, 0.0, positive
1.5128, 14.7778, 1.5217, 1.3872, 74.6567, 0.0, 7.473, 0.0, 0.0, positive
1.5193, 14.7425, 0.3291, 1.0573, 73.0651, 0.0, 10.684, 0.0, 0.0, positive
1.5174, 14.4505, 2.1556, 1.6053, 72.7497, 0.0, 8.9764, 0.0, 0.0, positive
1.519, 13.8211, 2.376, 1.2072, 72.8549, 0.0, 9.6523, 0.0, 0.0, positive
1.5193, 13.9788, 1.1368, 1.6655, 72.7494, 0.0, 10.3577, 0.0, 0.0, positive
1.5126, 15.0747, 1.348, 1.2678, 74.7427, 0.0, 7.3786, 0.0, 0.0, positive
1.5181, 15.0897, 0.0, 0.5187, 73.8407, 0.0, 10.3604, 0.0, 0.0, positive
1.5195, 14.5466, 0.309, 0.7057, 73.3266, 0.0, 10.9488, 0.0, 0.0, positive
1.5118, 17.1267, 0.1944, 0.4522, 75.1471, 0.0, 6.8727, 0.0, 0.0, positive
1.5152, 14.4263, 1.9545, 1.5729, 73.624, 0.0, 8.3035, 0.0, 0.0, positive
1.5195, 14.0254, 1.6723, 0.996, 72.9808, 0.0, 10.2114, 0.0, 0.0, positive
1.5193, 13.9643, 1.2339, 1.6292, 72.7503, 0.0, 10.3127, 0.0, 0.0, positive
1.5152, 16.0315, 0.0, 0.4458, 74.486, 0.0, 8.833, 0.0, 0.0, positive
1.519, 14.1277, 0.748, 1.944, 72.7159, 0.0, 10.3527, 0.0, 0.0, positive
1.5188, 14.9526, 0.8911, 1.7317, 72.4891, 0.0, 9.8974, 0.0, 0.0, positive
1.5185, 14.1211, 2.1955, 1.657, 72.6459, 0.0, 9.3194, 0.0, 0.0, positive
1.5172, 14.8198, 1.0619, 1.6818, 73.0967, 0.0, 9.2609, 0.0, 0.0, positive
1.5186, 13.8666, 2.3263, 1.2332, 72.9878, 0.0, 9.4906, 0.0, 0.0, positive
1.5187, 14.5847, 1.4172, 1.7047, 72.5763, 0.0, 9.6677, 0.0, 0.0, positive
1.5183, 14.4759, 2.1987, 1.6224, 72.3838, 0.0, 9.2803, 0.0, 0.0, positive
1.5183, 14.3757, 2.2292, 1.6285, 72.4469, 0.0, 9.2753, 0.0, 0.0, positive
1.519, 13.9212, 2.3139, 1.3973, 72.7216, 0.0, 9.5713, 0.0, 0.0, positive
1.5164, 15.0207, 1.5704, 1.287, 73.4473, 0.0, 8.5662, 0.0, 0.0, positive
1.5152, 14.6265, 1.3757, 1.6158, 73.7659, 0.0, 8.4915, 0.0, 0.0, positive
1.5158, 14.6873, 1.277, 1.6366, 73.5555, 0.0, 8.7334, 0.0, 0.0, positive
1.5185, 14.626, 1.7868, 1.6569, 72.417, 0.0, 9.4747, 0.0, 0.0, positive
1.5187, 14.0427, 2.2246, 1.5888, 72.6853, 0.0, 9.3923, 0.0, 0.0, positive
1.5195, 14.4159, 0.0, 1.0964, 73.2189, 0.0, 11.102, 0.0, 0.0, positive
1.5169, 15.0189, 1.8121, 1.3746, 72.9598, 0.0, 8.7606, 0.0, 0.0, positive
1.5196, 14.3245, 0.7374, 0.752, 73.2588, 0.0, 10.7747, 0.0, 0.0, positive
1.5193, 13.8825, 1.7832, 1.4237, 72.7554, 0.0, 10.0577, 0.0, 0.0, positive
1.5141, 16.1873, 0.9153, 0.8633, 74.1723, 0.0, 7.7141, 0.0, 0.0, positive
1.5183, 14.4764, 2.1972, 1.6226, 72.3839, 0.0, 9.281, 0.0, 0.0, positive
1.5195, 14.437, 0.0, 1.0181, 73.2567, 0.0, 11.119, 0.0, 0.0, positive
1.5137, 14.3604, 1.8002, 1.5545, 74.3051, 0.0, 7.8167, 0.0, 0.0, positive
1.5194, 13.8067, 2.2923, 1.2333, 72.7601, 0.0, 9.8214, 0.0, 0.0, positive
1.5157, 14.1403, 2.027, 1.3897, 73.7868, 0.0, 8.5184, 0.0, 0.0, positive
1.5191, 14.5217, 0.8693, 0.9706, 73.0522, 0.0, 10.4591, 0.0, 0.0, positive
1.5185, 14.0886, 2.178, 1.6633, 72.672, 0.0, 9.3345, 0.0, 0.0, positive
1.5195, 14.0625, 1.5563, 0.9658, 73.0153, 0.0, 10.2812, 0.0, 0.0, positive
1.5181, 14.459, 2.227, 1.6168, 72.439, 0.0, 9.2155, 0.0, 0.0, positive
1.5193, 13.9001, 1.6649, 1.468, 72.7543, 0.0, 10.1126, 0.0, 0.0, positive
1.5186, 14.1455, 2.1019, 1.6657, 72.6606, 0.0, 9.3646, 0.0, 0.0, positive
1.5188, 14.2689, 0.8662, 1.9084, 72.6002, 0.0, 10.2572, 0.0, 0.0, positive
1.5128, 16.8813, 0.1632, 0.6337, 74.8017, 0.0, 7.3359, 0.0, 0.0, positive
1.5184, 14.5278, 2.0563, 1.6343, 72.3952, 0.0, 9.3475, 0.0, 0.0, positive
1.5186, 14.3738, 1.7459, 1.686, 72.6168, 0.0, 9.5222, 0.0, 0.0, positive
1.5187, 14.8858, 0.0, 0.5344, 73.701, 0.0, 10.691, 0.0, 0.0, positive
1.5195, 14.6753, 0.2076, 0.8735, 73.2176, 0.0, 10.8815, 0.0, 0.0, positive
1.5174, 14.807, 1.9747, 1.4674, 72.7398, 0.0, 8.9504, 0.0, 0.0, positive
1.5175, 15.2832, 0.0, 0.5037, 73.9732, 0.0, 10.0466, 0.0, 0.0, positive
1.5189, 14.9747, 0.7488, 1.6918, 72.5387, 0.0, 10.002, 0.0, 0.0, positive
1.5193, 13.8307, 2.131, 1.2936, 72.7586, 0.0, 9.8963, 0.0, 0.0, positive
1.5185, 14.3912, 1.7429, 1.7237, 72.46, 0.0, 9.6214, 0.0, 0.0, positive
1.5162, 15.7081, 0.0, 0.4708, 74.2644, 0.0, 9.3575, 0.0, 0.0, positive
1.5192, 13.8696, 2.3906, 1.2404, 72.7155, 0.0, 9.7056, 0.0, 0.0, positive
1.5144, 14.2634, 1.8924, 1.4601, 74.1463, 0.0, 8.081, 0.0, 0.0, positive
1.5185, 14.1268, 2.1962, 1.6563, 72.6414, 0.0, 9.3184, 0.0, 0.0, positive
1.5189, 14.978, 0.7547, 1.7008, 72.5313, 0.0, 9.9923, 0.0, 0.0, positive
1.5158, 14.2412, 1.9714, 1.601, 73.5897, 0.0, 8.4773, 0.0, 0.0, positive
1.5194, 14.7168, 0.2828, 0.9872, 73.1233, 0.0, 10.7593, 0.0, 0.0, positive
1.519, 14.1318, 0.5976, 1.9735, 72.7205, 0.0, 10.4598, 0.0, 0.0, positive
1.5156, 16.0007, 0.4514, 1.15, 73.7276, 0.0, 8.5544, 0.0, 0.0, positive
1.5185, 14.9558, 0.8411, 1.7283, 72.6256, 0.0, 9.8025, 0.0, 0.0, positive
1.5117, 16.4461, 0.5461, 0.7167, 75.1397, 0.0, 6.9427, 0.0, 0.0, positive
1.5197, 14.5054, 0.1718, 0.6045, 73.4269, 0.0, 11.1154, 0.0, 0.0, positive
1.5184, 14.4225, 1.9673, 1.6765, 72.4241, 0.0, 9.4587, 0.0, 0.0, positive
1.5189, 14.9824, 0.7718, 1.7452, 72.5009, 0.0, 9.9605, 0.0, 0.0, positive
1.5189, 14.0798, 2.3373, 1.375, 72.5963, 0.0, 9.5473, 0.0, 0.0, positive
1.5186, 14.263, 2.2907, 1.4924, 72.4925, 0.0, 9.4094, 0.0, 0.0, positive
1.516, 14.7071, 1.2449, 1.6433, 73.4869, 0.0, 8.8123, 0.0, 0.0, positive
1.514, 16.1216, 0.8376, 0.8457, 74.3632, 0.0, 7.6701, 0.0, 0.0, positive
1.5154, 14.2658, 1.936, 1.5914, 73.7373, 0.0, 8.341, 0.0, 0.0, positive
1.5172, 13.9928, 2.1882, 1.3054, 73.3564, 0.0, 9.0421, 0.0, 0.0, positive
1.5187, 14.3189, 1.2246, 1.8329, 72.5429, 0.0, 9.9973, 0.0, 0.0, positive
1.5185, 14.0973, 2.1923, 1.6597, 72.6645, 0.0, 9.3236, 0.0, 0.0, positive
1.519, 14.1991, 0.3659, 2.0137, 72.6803, 0.0, 10.62, 0.0, 0.0, positive
1.5185, 14.1867, 2.2042, 1.6496, 72.5946, 0.0, 9.308, 0.0, 0.0, positive
1.5142, 14.5186, 1.5509, 1.5789, 74.1398, 0.0, 8.0616, 0.0, 0.0, positive
1.5191, 14.2666, 0.1096, 2.0417, 72.705, 0.0, 10.754, 0.0, 0.0, positive
